,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed
0,M&R,2,FairDEN_v1,11,0.9094842180358207,0.8193022002967602,0.873660354498763,0.2478217575304954,652,1339,"[0.8759370169076255, 0.9430314191640158]","[0.7777498744349572, 0.8608545261585631]","[0.8400410543096107, 0.9072796546879153]","[0, 0.4956435150609908]","{0: [0.8759370169076255, 0.9455714195834546], 1: [0.9430314191640158, 0.9719715107850458]}","{0: [0.7777498744349572, 0.8724802804557406, 0.8795928914377167, 0.8328220858895706, 0.9852834257655956], 1: [0.8608545261585631, 0.9415369161225515, 0.9446171895667911, 0.9247237569060772, 0.9927270170919438]}","{0: [0.8585081763203284, 0.9226128356045317, 0.982420894023104, 0.9263976011580616, 0.920951407147726, 0.8400410543096107], 1: [0.9355441068968775, 0.9591571104421512, 0.9912870301219816, 0.9654007550104503, 0.962935482398064, 0.9072796546879153]}","{0: [0, 0.6785957736877982, 0.7363486054910151, 0.982420894023104, 0.9824208940231038, 0.9194451956882896, 0, 0, 0.9005524861878452, 0.6549472626820694, 0.8186840783525866, 0.7046956111373289, 0.8878543823139915, 0.704695611137329, 0.9850583811597071, 0.982420894023104, 0.8800853842290307, 0.6549472626820694, 0.6549472626820694, 0.736815670517328, 0.9543517256224439, 0.8732630169094258, 0.9395941481831053, 0.9631577392383373, 0.5089468302658486, 0.912162914935391, 0.491210447011552, 0.982420894023104, 0.8186840783525866, 0.763420245398773, 0.8839602841459477, 0.8186840783525866, 0.9725764770148753, 0.9643203099773976, 0.982420894023104, 0.6549472626820694], 1: [0.6725263686589653, 0.864676759704384, 0.8862263362702253, 0.9912870301219816, 0.9912870301219816, 0.9573388441589001, 0.6725263686589653, 0.6725263686589653, 0.9462285287528006, 0.7434652725914862, 0.8921583271097834, 0.874284279256655, 0.9482204079850008, 0.8742842792566549, 0.9927770204013298, 0.9912870301219816, 0.9336540632544245, 0.7434652725914862, 0.7434652725914862, 0.8260725251016513, 0.9767092796790112, 0.9293315907393577, 0.9714269769518388, 0.9813741598207618, 0.8070316423907584, 0.9531108324867356, 0.4956435150609908, 0.9912870301219816, 0.8921583271097834, 0.8967018248786206, 0.9465185929274326, 0.8921583271097834, 0.9868226112985823, 0.9829231541938724, 0.9912870301219816, 0.7434652725914862]}"
1,M&R,2,FairDEN_v2,11,0.9134510673564535,0.8064983321394714,0.8889843630482038,0.24525745257452575,1353,638,"[0.9465808056785334, 0.8803213290343735]","[0.8519469405220369, 0.761049723756906]","[0.9228331266363511, 0.8551355994600566]","[0.4905149051490515, 0]","{0: [0.9465808056785334, 0.9738163558106169], 1: [0.8803213290343735, 0.9473937064616863]}","{0: [0.8519469405220369, 0.9281767955801105, 0.9331244330832028, 0.9343922651933702, 0.9910054184795188], 1: [0.761049723756906, 0.8358990147783252, 0.8480134932533733, 0.8510971786833856, 0.9812823184758459]}","{0: [0.936057848553786, 0.953923779407826, 0.981029810298103, 0.9600105235464352, 0.9513812154696134, 0.9228331266363511], 1: [0.8551355994600566, 0.9109846271970089, 0.9613259668508288, 0.9116621464548623, 0.8916256157635468, 0.8593671521848317]}","{0: [0.6795580110497238, 0.8737174427782163, 0.8954923323178602, 0.4905149051490515, 0.981029810298103, 0.947432898986524, 0.6795580110497238, 0.6795580110497238, 0.9364375461936438, 0.7357723577235772, 0.8494475138121548, 0.8834254143646408, 0.9463783344066706, 0.8834254143646408, 0.9575590155700652, 0.981029810298103, 0.9239931934203062, 0.7357723577235772, 0.6795580110497238, 0.981029810298103, 0.9666029013231309, 0.9197154471544715, 0.9621638524077549, 0.9993500162495936, 0.8154696132596685, 0.950932942749793, 0.4905149051490515, 0.981029810298103, 0.8829268292682927, 0.77663772691397, 0.956414978514426, 0.8829268292682927, 0.9823313823095017, 0.9932001699957499, 0.6795580110497238, 0.7357723577235772], 1: [0, 0.6934865900383141, 0.7525067253607239, 0.4806629834254144, 0.9613259668508286, 0.8997025074373142, 0, 0, 0.8812154696132597, 0.6408839779005526, 0.6241379310344827, 0.720159151193634, 0.8798420173173325, 0.720159151193634, 0.9060066740823137, 0.9613259668508288, 0.8611878453038675, 0.6408839779005526, 0, 0.9613259668508286, 0.9338595106550908, 0.85451197053407, 0.925721301411909, 0.9986206896551724, 0.5201149425287356, 0.9057511569590835, 0.4806629834254144, 0.9613259668508288, 0.8011049723756907, 0.39008620689655166, 0.9033575317604357, 0.8011049723756907, 0.9618564005668397, 0.9854809437386571, 0, 0.6408839779005526]}"
2,M&R,2,FairDEN_v1,13,0.928263844903612,0.8303517416842057,0.8854930377544487,0.33324962330487196,664,1327,"[0.9028745727760488, 0.9536531170311754]","[0.7920642893018582, 0.8686391940665531]","[0.8555019326097876, 0.9154841428991097]","[0, 0.6664992466097439]","{0: [0.9028745727760488, 0.9568797987568531], 1: [0.9536531170311754, 0.9774513497938738]}","{0: [0.7920642893018582, 0.8031680292598967, 0.8636966343635409, 0.9171270718232043, 0.9827993092202584], 1: [0.8686391940665531, 0.9103404343937964, 0.9361516135587242, 0.9547852298417483, 0.9912425391907318]}","{0: [0.8963469536509026, 0.9340006218459257, 0.9994979919678715, 0.9337204355141271, 0.9043077070185503, 0.8555019326097876], 1: [0.9506918187682132, 0.9646418255043018, 0.9997488699146158, 0.9678998383167143, 0.9543057394639514, 0.9154841428991097]}","{0: [0, 0.8329149933065596, 0.8293706741861062, 0.9994979919678715, 0.9994979919678715, 0.9016872221292112, 0, 0, 0.7337016574585635, 0.6670015067805123, 0.8337518834756403, 0.6919601482854495, 0.8850180457512871, 0.6919601482854495, 0.9672561212592304, 0.9994979919678715, 0.8962832747363134, 0.6670015067805123, 0.6670015067805123, 0.7503766951280763, 0.9994979919678714, 0.8893353423740166, 0.9226135310472661, 0.9595180722891566, 0.9994979919678715, 0.9255854242642616, 0.9994979919678715, 0.9994979919678715, 0.8337518834756403, 0.7496234939759036, 0.8679850982878885, 0.8337518834756403, 0.9960750536392144, 0.9468928344958782, 0.9994979919678715, 0.6670015067805124], 1: [0.6664992466097439, 0.9228451106904145, 0.9213371938428812, 0.9997488699146158, 0.9997488699146158, 0.94544290861042, 0.6664992466097439, 0.6664992466097439, 0.8183873398643557, 0.7501883948756594, 0.9002260738507912, 0.8664490205926669, 0.9455958061275741, 0.8664490205926669, 0.9838798402334314, 0.9997488699146158, 0.9420970540298979, 0.7501883948756594, 0.7501883948756594, 0.8335426609729549, 0.9997488699146159, 0.9377354935945742, 0.9627211339918522, 0.9801459508966821, 0.9997488699146158, 0.9597710534962743, 0.9997488699146158, 0.9997488699146158, 0.9002260738507912, 0.8886656621463253, 0.9380359767100097, 0.9002260738507912, 0.9980398974874113, 0.9741142835065486, 0.9997488699146158, 0.7501883948756594]}"
3,M&R,2,FairDEN_v2,13,0.9279227070607226,0.8275827715618581,0.9088842672529394,0.24949874686716794,1330,661,"[0.9536466133801199, 0.9021988007413252]","[0.8666798575385832, 0.788485685585133]","[0.9387918949917166, 0.8789766395141623]","[0.4989974937343359, 0]","{0: [0.9536466133801199, 0.9774480318443167], 1: [0.9021988007413252, 0.9565928032076548]}","{0: [0.8666798575385832, 0.9844299347061778, 0.9241587142139629, 0.9185082872928176, 0.9916161700008299], 1: [0.788485685585133, 0.9681759239247892, 0.834876340196014, 0.8214826021180031, 0.9834107182839127]}","{0: [0.9432647920668131, 0.9592842360950198, 0.9979949874686718, 0.9655864382761873, 0.9564631751974797, 0.9387918949917166], 1: [0.8789766395141623, 0.9242790783377268, 0.9959819186338523, 0.9282885263099103, 0.9084119780035059, 0.8903474727181407]}","{0: [0.6680060271220493, 0.8588648920140632, 0.9234200963157738, 0.4989974937343359, 0.9979949874686718, 0.9433103306210732, 0.6680060271220493, 0.6680060271220493, 0.9526315789473684, 0.7484962406015038, 0.8981954887218045, 0.868407835258664, 0.9477335509794074, 0.8684078352586639, 0.986104135275406, 0.9979949874686718, 0.9399720230809582, 0.7484962406015038, 0.6680060271220493, 0.8316624895572263, 0.9979949874686717, 0.9356203007518795, 0.8636495083863505, 0.9823618045912488, 0.8016072325464592, 0.9595604546614578, 0.4989974937343359, 0.9979949874686718, 0.8981954887218045, 0.7634354595680564, 0.9401566307643654, 0.8981954887218045, 0.9951926526512163, 0.9763165011783795, 0.6680060271220492, 0.7484962406015037], 1: [0, 0.6693561943183729, 0.8331348376090386, 0.49799095931692616, 0.9959819186338523, 0.8976133340774226, 0, 0, 0.9129834254143646, 0.6639879457559016, 0.829984932194877, 0.6951006633306179, 0.8890347691056802, 0.695100663330618, 0.9716460885266702, 0.9959819186338523, 0.8922338021094928, 0.6639879457559016, 0, 0.7469864389753892, 0.9959819186338523, 0.8853172610078688, 0.784713026802429, 0.9638729198184569, 0.5020171457387796, 0.9247541208164011, 0.49799095931692616, 0.9959819186338523, 0.829984932194877, 0.3765128593040847, 0.8719245162831436, 0.829984932194877, 0.990280397073757, 0.9511903813997931, 0, 0.6639879457559016]}"
4,M&R,2,FairDEN_v1,15,0.9315978160897568,0.848926474252325,0.8998155299897637,0.25388931395052283,684,1307,"[0.9087659057840058, 0.9544297263955077]","[0.8159216474133602, 0.8819313010912899]","[0.8701379783979521, 0.9294930815815751]","[0, 0.5077786279010457]","{0: [0.9087659057840058, 0.9593891196214588], 1: [0.9544297263955077, 0.9778472253476753]}","{0: [0.8159216474133602, 0.8316624895572263, 0.885901347571828, 0.9447513812154696, 0.9854043194374688], 1: [0.8819313010912899, 0.9190356604721246, 0.9436526870919137, 0.9693955623565418, 0.9922484169850183]}","{0: [0.8701379783979521, 0.9316332719138138, 0.9161225514816675, 0.9437967578121333, 0.8778659611992944, 0.8812700631100824], 1: [0.9363633814092349, 0.9615956587881652, 0.9520849273144606, 0.9714272420667351, 0.9399228345737638, 0.9294930815815751]}","{0: [0, 0.8085607537361923, 0.8051200696777404, 0.9702729044834307, 0.9702729044834307, 0.9288464758078019, 0, 0, 0.7558011049723757, 0.6870919136112508, 0.8588648920140634, 0.7463637726795621, 0.9360782646778473, 0.671727395411606, 0.9389737785323523, 0.9702729044834307, 0.9232797589151182, 0.6870919136112508, 0.6870919136112508, 0.772978402812657, 0.9702729044834307, 0.9161225514816677, 0.8956365272154746, 0.9896783625730994, 0.9702729044834307, 0.9201265836122692, 0.515318935208438, 0.9702729044834307, 0.8588648920140634, 0.727704678362573, 0.9192059095106186, 0.8588648920140634, 0.9669500520708163, 0.9192059095106186, 0.9702729044834307, 0.6870919136112507], 1: [0.6564540431943747, 0.9089363674999035, 0.9074511773569297, 0.984681064791562, 0.9846810647915619, 0.9599102828814288, 0.6564540431943747, 0.6564540431943747, 0.8309104820198929, 0.7616679418515684, 0.9140015302218821, 0.8828175063648487, 0.9676303104228771, 0.853390256152687, 0.9690512066202674, 0.984681064791562, 0.9565132293019697, 0.7616679418515684, 0.7616679418515684, 0.8462977131684095, 0.984681064791562, 0.9520849273144605, 0.9482113957252079, 0.994627338173295, 0.984681064791562, 0.9545707887434801, 0.5077786279010457, 0.984681064791562, 0.9140015302218821, 0.8752720575924996, 0.9594328323610092, 0.9140015302218821, 0.9829978492961918, 0.9594328323610092, 0.984681064791562, 0.7616679418515685]}"
5,M&R,2,FairDEN_v2,15,0.9336605620440492,0.8383857478784075,0.9003813133798336,0.2535014005602241,1309,682,"[0.9558902156478346, 0.9114309084402639]","[0.8805838124723574, 0.7961876832844575]","[0.9280729240848882, 0.8726897026747791]","[0.5070028011204482, 0]","{0: [0.9558902156478346, 0.9785899653979239], 1: [0.9114309084402639, 0.9605285641054849]}","{0: [0.8805838124723574, 0.9440430655900269, 0.9377703541907577, 0.9040055248618785, 0.9916161700008299], 1: [0.8135359116022098, 0.8862327188940091, 0.8726332398316969, 0.7961876832844575, 0.9841632924118467]}","{0: [0.9377962251451327, 0.9585100777824415, 0.9861878453038675, 0.9683136763188486, 0.9413611250627826, 0.9280729240848882], 1: [0.8726897026747791, 0.9262399187146758, 0.9731182795698925, 0.937192564593797, 0.8804403481822836, 0.8786932500600529]}","{0: [0.6574585635359116, 0.9103272418189545, 0.9088397790055248, 0.5070028011204482, 0.9861878453038673, 0.958443651433176, 0.6574585635359117, 0.6574585635359117, 0.9679144385026738, 0.7605042016806722, 0.9126050420168067, 0.8841684130310535, 0.9628586704687222, 0.854696132596685, 0.9705340699815838, 0.9861878453038675, 0.9196794997068595, 0.7605042016806722, 0.6574585635359117, 0.8450046685340804, 0.9990937551491185, 0.9506302521008403, 0.936005171299289, 0.9961493386907752, 0.7889502762430939, 0.9550979660793821, 0.5070028011204482, 0.9861878453038675, 0.9126050420168067, 0.7513812154696133, 0.960900977475563, 0.9126050420168067, 0.9845020541153138, 0.960900977475563, 0.6574585635359116, 0.7605042016806722], 1: [0, 0.8109318996415771, 0.8074811256005491, 0.5138121546961326, 0.9731182795698926, 0.9261305504399427, 0, 0, 0.9419889502762431, 0.6850828729281768, 0.856353591160221, 0.7485525227460712, 0.9259627682250959, 0.6736972704714641, 0.9417273673257024, 0.9731182795698925, 0.8664283392915179, 0.6850828729281768, 0, 0.7707182320441989, 0.9982636148382005, 0.9134438305709024, 0.8906077348066297, 0.9925806451612903, 0.48655913978494625, 0.9206552292333042, 0.5138121546961326, 0.9731182795698925, 0.856353591160221, 0.36491935483870963, 0.9219015280135825, 0.856353591160221, 0.9697856827220505, 0.9219015280135825, 0, 0.6850828729281768]}"
6,M&R,2,FairDEN_v1,10,0.49748869914615773,0.4974886991461576,0.4940066222332498,0.4522715800100959,1981,10,"[0.9949773982923155, 0]","[0.9949773982923152, 0]","[0.9880132444664996, 0]","[0.9045431600201917, 0]","{0: [0.9949773982923155, 0.9976578970810939], 1: [0, 0.683073832245103]}","{0: [0.9949773982923152, 0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9992080488053122], 1: [0, 0, 0, 0, 0.8643897538925164]}","{0: [0.9949773982923154, 0.9954353821452578, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9880132444664996], 1: [0, 0.5251409118812433, 0, 0, 0, 0.29633350075339027]}","{0: [0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9949773982923156, 0.9949773982923156, 0.9949773982923154, 0.9949773982923156, 0.9949773982923155, 0.9949773982923154, 0.9949773982923155, 0.9949773982923154, 0.9949773982923154, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923156, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923154, 0.9949773982923154, 0.9949773982923155, 0.993239298136474, 0.9949773982923155, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923152, 0.9949773982923155, 0.9949773982923154, 0.9949773982923152, 0.9949773982923155, 0.9045431600201917], 1: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.42747921200959876, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.050226017076845805]}"
7,M&R,2,FairDEN_v2,10,0.49748869914615773,0.4974886991461576,0.4940066222332498,0.4522715800100959,1981,10,"[0.9949773982923155, 0]","[0.9949773982923152, 0]","[0.9880132444664996, 0]","[0.9045431600201917, 0]","{0: [0.9949773982923155, 0.9976578970810939], 1: [0, 0.683073832245103]}","{0: [0.9949773982923152, 0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9992080488053122], 1: [0, 0, 0, 0, 0.8643897538925164]}","{0: [0.9949773982923154, 0.9954353821452578, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9880132444664996], 1: [0, 0.5251409118812433, 0, 0, 0, 0.29633350075339027]}","{0: [0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9949773982923156, 0.9949773982923156, 0.9949773982923154, 0.9949773982923156, 0.9949773982923155, 0.9949773982923154, 0.9949773982923155, 0.9949773982923154, 0.9949773982923154, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923156, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923154, 0.9949773982923154, 0.9949773982923155, 0.993239298136474, 0.9949773982923155, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923152, 0.9949773982923155, 0.9949773982923154, 0.9949773982923152, 0.9949773982923155, 0.9045431600201917], 1: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.42747921200959876, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.050226017076845805]}"
