,Data,Algorithm,min_pts,DCSI,Balance_gender,Balance_race,Balance_marital_status,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,Setting,Degree,Balance_Mixed
0,adult_gm,GroundTruth,5,0.00013261837999597407,0.6050465831438798,0.5112179487179488,0.4430387901576694,1.0,1.0,0.0,True,0.02910980842318583,0.018111284225570606,,,
1,adult_gm,GroundTruth_DB,5,0.992207735691155,0.6976466158389997,0.49259947208915833,0.4920310880829016,0.02910980842318583,0.018111284225570606,0.02564102564102564,True,1.0,1.0,,,
2,adult_gm,FairDEN_v1,11,0.980629667349255,0.6431531302180744,0.49346983485001683,0.4932941602915085,0.02123459031528707,0.025267669608688252,0.0,True,0.30491674639277777,0.31762587161500483,G&M,2.0,0.4189838220424671
3,adult_gm,FairDEN_v2,11,0.980629667349255,0.6431531302180744,0.49346983485001683,0.4932941602915085,0.02123459031528707,0.025267669608688252,0.0,True,0.30491674639277777,0.31762587161500483,G&M,2.0,0.4189838220424671
4,adult_gm,FairDEN_v1,13,0.0003000680950272702,0.9613216660624833,0.8483346414937512,0.7274337917703988,0.02997925654478424,0.006706836870359673,0.0,True,0.05969734794309695,0.08461030643612633,G&M,2.0,0.33157365510306686
5,adult_gm,FairDEN_v2,13,0.0003000680950272702,0.9602457014942714,0.848067845937535,0.7282376543462401,0.02965213237327664,0.006609807793599206,0.0,True,0.059443980810408366,0.08445559954215305,G&M,2.0,0.3313222724987431
6,adult_gm,FairDEN_v1,15,0.0003000680950272702,0.9670858047509332,0.8225012901353923,0.7363007886433399,0.026474044371398317,0.005683295003066567,0.0,True,0.0569482507929327,0.08293239374861704,G&M,2.0,0.3288084464555053
7,adult_gm,FairDEN_v2,15,0.0003000680950272702,0.9670858047509332,0.8225012901353923,0.7646051656971227,0.026474044371398317,0.005683295003066567,0.0,True,0.0569482507929327,0.08293239374861704,G&M,2.0,0.3288084464555053
8,adult_gm,FairDEN_v1,10,0.980629667349255,0.6431531302180744,0.49346983485001683,0.4932941602915085,0.02123459031528707,0.025267669608688252,0.0,True,0.30491674639277777,0.31762587161500483,G&M,2.0,0.4189838220424671
9,adult_gm,FairDEN_v2,10,0.980629667349255,0.6431531302180744,0.49346983485001683,0.4932941602915085,0.02123459031528707,0.025267669608688252,0.0,True,0.30491674639277777,0.31762587161500483,G&M,2.0,0.4189838220424671
