,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed
0,G&M,2,FairDEN_v1,11,0.6431531302180744,0.49346983485001683,0.4932941602915085,0.4189838220424671,1978,11,"[0.9960684084005439, 0.29023785203560487]","[0.9869396697000337, 0]","[0.986588320583017, 0]","[0.8379676440849342, 0]","{0: [0.9960684084005439, 0.9981998173169876], 1: [0.29023785203560487, 0.755455002513826]}","{0: [0.994469582704877, 0.9869396697000337, 0.9944695827048768, 0.994469582704877, 0.9997114860322182], 1: [0, 0.2986425339366516, 0, 0, 0.9506787330316743]}","{0: [0.9981664956517351, 0.9982820330773984, 0.9944695827048768, 0.9960684084005439, 0.9879197488159226, 0.986588320583017], 1: [0.6696969696969698, 0.7639876463405875, 0, 0.29023785203560487, 0.3152337858220211, 0.29311211664152836]}","{0: [0.9944695827048768, 0.9944695827048768, 0.9982213103259946, 0.9944695827048768, 0.994469582704877, 0.994469582704877, 0.9944695827048767, 0.994469582704877, 0.9944695827048768, 0.9944695827048767, 0.994469582704877, 0.9944695827048767, 0.9944695827048768, 0.9944695827048768, 0.9944695827048767, 0.994469582704877, 0.9944695827048768, 0.9944695827048768, 0.9944695827048767, 0.9636627906976744, 0.9944695827048768, 0.9944695827048768, 0.9979143198760511, 0.9944695827048767, 0.9944695827048767, 0.9944695827048768, 0.994469582704877, 0.9944695827048768, 0.994469582704877, 0.997910653925309, 0.9576773075256391, 0.9944695827048768, 0.8379676440849342], 1: [0, 0, 0.7576671694318754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13273001508295626, 0, 0, 0.7272498743086978, 0, 0, 0, 0, 0, 0, 0.6235109717868338, 0.11613876319758673, 0, 0.033182503770739065]}"
1,G&M,2,FairDEN_v2,11,0.6431531302180744,0.49346983485001683,0.4932941602915085,0.4189838220424671,1978,11,"[0.9960684084005439, 0.29023785203560487]","[0.9869396697000337, 0]","[0.986588320583017, 0]","[0.8379676440849342, 0]","{0: [0.9960684084005439, 0.9981998173169876], 1: [0.29023785203560487, 0.755455002513826]}","{0: [0.994469582704877, 0.9869396697000337, 0.9944695827048768, 0.994469582704877, 0.9997114860322182], 1: [0, 0.2986425339366516, 0, 0, 0.9506787330316743]}","{0: [0.9981664956517351, 0.9982820330773984, 0.9944695827048768, 0.9960684084005439, 0.9879197488159226, 0.986588320583017], 1: [0.6696969696969698, 0.7639876463405875, 0, 0.29023785203560487, 0.3152337858220211, 0.29311211664152836]}","{0: [0.9944695827048768, 0.9944695827048768, 0.9982213103259946, 0.9944695827048768, 0.994469582704877, 0.994469582704877, 0.9944695827048767, 0.994469582704877, 0.9944695827048768, 0.9944695827048767, 0.994469582704877, 0.9944695827048767, 0.9944695827048768, 0.9944695827048768, 0.9944695827048767, 0.994469582704877, 0.9944695827048768, 0.9944695827048768, 0.9944695827048767, 0.9636627906976744, 0.9944695827048768, 0.9944695827048768, 0.9979143198760511, 0.9944695827048767, 0.9944695827048767, 0.9944695827048768, 0.994469582704877, 0.9944695827048768, 0.994469582704877, 0.997910653925309, 0.9576773075256391, 0.9944695827048768, 0.8379676440849342], 1: [0, 0, 0.7576671694318754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13273001508295626, 0, 0, 0.7272498743086978, 0, 0, 0, 0, 0, 0, 0.6235109717868338, 0.11613876319758673, 0, 0.033182503770739065]}"
2,G&M,2,FairDEN_v1,13,0.9613216660624833,0.8483346414937512,0.7274337917703988,0.33157365510306686,670,1319,"[0.9482547135909538, 0.9743886185340126]","[0.8096336499321574, 0.8870356330553448]","[0.686661252272112, 0.7682063312686855]","[0, 0.6631473102061337]","{0: [0.9482547135909538, 0.9769443190200028], 1: [0.9743886185340126, 0.9880122369646466]}","{0: [0.8180708180708182, 0.8246268656716417, 0.9474436328993331, 0.8096336499321574, 0.9898286730865917], 1: [0.8870356330553448, 0.9182039679777236, 0.9739976118652589, 0.911827551533434, 0.9947802753950518]}","{0: [0.8246268656716419, 0.9414351185857476, 0.9143144437262085, 0.9434896145276827, 0.9374705420267085, 0.686661252272112], 1: [0.9182039679777236, 0.9684007423128518, 0.9523961533857387, 0.9720959394315796, 0.9692152995320416, 0.7682063312686855]}","{0: [0, 0.7812254516889238, 0.7800849765769691, 0.6737053795877325, 0.6597014925373134, 0.9263448969331323, 0.6737053795877325, 0.9263448969331323, 0.9895522388059701, 0.37108208955223887, 0.8771031207598371, 0.9715603799185889, 0.8758169934640523, 0.7744321868916288, 0.6737053795877325, 0.6737053795877326, 0.49477611940298505, 0.9699571449682282, 0.6737053795877325, 0.9895522388059701, 0.9511134770650342, 0.49477611940298505, 0.9391405379765388, 0.6737053795877325, 0.7421641791044777, 0.9895522388059701, 0.9895522388059701, 0.9374705420267085, 0.8421317244846657, 0.941780751415337, 0.9895522388059701, 0.9895522388059701, 0.6737053795877325], 1: [0.6631473102061337, 0.899985635279753, 0.8995166484974291, 0.7539802880970432, 0.8526179702650291, 0.9596112757598732, 0.7539802880970433, 0.9596112757598732, 0.9947209653092006, 0.7578826402355813, 0.9412413435183834, 0.9857595151712798, 0.9279757391963609, 0.8971993020435928, 0.7539802880970433, 0.7539802880970432, 0.7957767722473605, 0.9849687989826399, 0.7539802880970433, 0.9947209653092006, 0.9738912054586808, 0.7957767722473605, 0.9670824481041923, 0.7539802880970433, 0.8841964136081782, 0.9947209653092006, 0.9947209653092007, 0.9692152995320418, 0.9047763457164518, 0.9712763634332263, 0.9947209653092006, 0.9947209653092006, 0.7539802880970432]}"
3,G&M,2,FairDEN_v2,13,0.9602457014942714,0.848067845937535,0.7282376543462401,0.3313222724987431,671,1318,"[0.9468415172964815, 0.9736498856920611]","[0.808427042406178, 0.8877086494688922]","[0.6876861198128167, 0.7687891888796634]","[0, 0.6626445449974862]","{0: [0.9468415172964815, 0.9763295583335463], 1: [0.9736498856920611, 0.9876571050240281]}","{0: [0.8192918192918193, 0.823397913561848, 0.9460316453689318, 0.808427042406178, 0.9896143808008896], 1: [0.8877086494688922, 0.9175078315349809, 0.9732591754650578, 0.9111362493715435, 0.994657143538123]}","{0: [0.8343765524093394, 0.942840245628413, 0.9156790921496804, 0.9420835197221272, 0.936073417522943, 0.6876861198128167], 1: [0.9222372533470168, 0.9691354924967006, 0.9531187604823895, 0.9713589447845504, 0.9684804888424798, 0.7687891888796634]}","{0: [0, 0.780061181269119, 0.7789224058220109, 0.6747109100050277, 0.6587183308494783, 0.927727501256913, 0.6747109100050276, 0.9277275012569131, 0.9880774962742176, 0.3705290611028316, 0.8757959626066928, 0.9701124508874137, 0.8771241830065359, 0.7732780405624311, 0.6747109100050276, 0.6747109100050277, 0.4940387481371088, 0.997860441781883, 0.6747109100050276, 0.9880774962742176, 0.9525330494188626, 0.4940387481371088, 0.9405422402720262, 0.6747109100050276, 0.7410581222056632, 0.9880774962742176, 0.9880774962742175, 0.9360734175229429, 0.8433886375062847, 0.9403772033506347, 0.9880774962742176, 0.9880774962742176, 0.6747109100050277], 1: [0.6626445449974862, 0.899303311068017, 0.8988346798480754, 0.7545523520485584, 0.8519715578539109, 0.9603393571527107, 0.7545523520485585, 0.9603393571527107, 0.9939668174962293, 0.7573080514256983, 0.9405277412867545, 0.9850121614827497, 0.928679817905918, 0.8965190902907166, 0.7545523520485585, 0.7545523520485584, 0.7951734539969835, 0.9989119260409867, 0.7545523520485585, 0.9939668174962293, 0.9746301213960546, 0.7951734539969835, 0.9678161980648178, 0.7545523520485585, 0.8835260599966481, 0.9939668174962293, 0.9939668174962293, 0.96848048884248, 0.90546282245827, 0.9705399901478333, 0.9939668174962293, 0.9939668174962293, 0.7545523520485584]}"
4,G&M,2,FairDEN_v1,15,0.9670858047509332,0.8225012901353923,0.7363007886433399,0.3288084464555053,1308,681,"[0.9777931367149394, 0.956378472786927]","[0.8877828054298643, 0.7572197748409202]","[0.7746667820668167, 0.6979347952198631]","[0.6576168929110106, 0]","{0: [0.9777931367149394, 0.9896419600521177], 1: [0.956378472786927, 0.9804933423135421]}","{0: [0.8944954128440366, 0.8877828054298643, 0.9734801249391337, 0.9042232277526395, 0.9934154698432521], 1: [0.8315018315018315, 0.7572197748409202, 0.9476755084825195, 0.7965558670404486, 0.9875110085335115]}","{0: [0.9444497930104939, 0.9765447852527916, 0.9604056011588604, 0.9731480386782888, 0.9611323819468615, 0.7746667820668167], 1: [0.8870288790993638, 0.956891516055066, 0.9293255763843999, 0.9470022132498002, 0.9223278460468353, 0.6979347952198631]}","{0: [0.6576168929110106, 0.8924800689506573, 0.9193215747837598, 0.7603211009174312, 0.845507433742728, 0.9479328011438103, 0.7603211009174313, 0.9676814011676396, 0.9864253393665159, 0.7515621633268692, 0.9333917189704667, 0.9841885472137573, 0.9357798165137614, 0.8897169727619555, 0.7603211009174313, 0.7603211009174311, 0.9864253393665159, 0.9786311199927332, 0.7603211009174313, 0.9284003194037797, 0.9820814220183486, 0.7891402714932128, 0.975215404472041, 0.7603211009174313, 0.8768225238813473, 0.9864253393665159, 0.9864253393665159, 0.9611323819468617, 0.9123853211009174, 0.9779943535599646, 0.986425339366516, 0.9864253393665159, 0.7603211009174312], 1: [0, 0.7686065383723626, 0.831441525450979, 0.6847662141779789, 0.6490455212922173, 0.9090861808914548, 0.6847662141779789, 0.9415535444947211, 0.9735682819383259, 0.3650881057268723, 0.8629355226271525, 0.9691429715658791, 0.8901960784313726, 0.7619230032560812, 0.6847662141779789, 0.684766214177979, 0.9735682819383259, 0.960574828221887, 0.6847662141779789, 0.8518722466960352, 0.9667287729571468, 0.48678414096916295, 0.9545592632268998, 0.6847662141779789, 0.7301762114537446, 0.9735682819383259, 0.973568281938326, 0.9223278460468352, 0.8559577677224737, 0.9567826219049065, 0.9735682819383259, 0.9735682819383259, 0.6847662141779789]}"
5,G&M,2,FairDEN_v2,15,0.9670858047509332,0.8225012901353923,0.7646051656971227,0.3288084464555053,681,1308,"[0.956378472786927, 0.9777931367149394]","[0.7572197748409202, 0.8877828054298643]","[0.7258521870286576, 0.8033581443655876]","[0, 0.6576168929110106]","{0: [0.956378472786927, 0.9804933423135421], 1: [0.9777931367149394, 0.9896419600521177]}","{0: [0.8315018315018315, 0.7572197748409202, 0.9476755084825195, 0.7965558670404486, 0.9875110085335115], 1: [0.8944954128440366, 0.8877828054298643, 0.9734801249391337, 0.9042232277526395, 0.9934154698432521]}","{0: [0.8870288790993638, 0.9541339036168669, 0.9293255763843999, 0.9470022132498002, 0.9223278460468353, 0.7258521870286576], 1: [0.9444497930104939, 0.9749722493667163, 0.9604056011588604, 0.9731480386782888, 0.9611323819468615, 0.8033581443655876]}","{0: [0, 0.7686065383723626, 0.831441525450979, 0.6847662141779789, 0.6490455212922173, 0.8787833081950729, 0.6847662141779789, 0.9415535444947211, 0.9735682819383259, 0.3650881057268723, 0.8629355226271525, 0.9691429715658791, 0.8901960784313726, 0.7619230032560812, 0.6847662141779789, 0.7208065412399778, 0.9735682819383259, 0.960574828221887, 0.6847662141779789, 0.8518722466960352, 0.9667287729571468, 0.48678414096916295, 0.9545592632268998, 0.6847662141779789, 0.7301762114537446, 0.9735682819383259, 0.973568281938326, 0.9223278460468352, 0.8559577677224737, 0.9567826219049065, 0.9735682819383259, 0.9735682819383259, 0.6847662141779789], 1: [0.6576168929110106, 0.8924800689506573, 0.9193215747837598, 0.7603211009174312, 0.845507433742728, 0.9281842011199808, 0.7603211009174313, 0.9676814011676396, 0.9864253393665159, 0.7515621633268692, 0.9333917189704667, 0.9841885472137573, 0.9357798165137614, 0.8897169727619555, 0.7603211009174313, 0.7983371559633028, 0.9864253393665159, 0.9786311199927332, 0.7603211009174313, 0.9284003194037797, 0.9820814220183486, 0.7891402714932128, 0.975215404472041, 0.7603211009174313, 0.8768225238813473, 0.9864253393665159, 0.9864253393665159, 0.9611323819468617, 0.9123853211009174, 0.9779943535599646, 0.986425339366516, 0.9864253393665159, 0.7603211009174312]}"
6,G&M,2,FairDEN_v1,10,0.6431531302180744,0.49346983485001683,0.4932941602915085,0.4189838220424671,1978,11,"[0.9960684084005439, 0.29023785203560487]","[0.9869396697000337, 0]","[0.986588320583017, 0]","[0.8379676440849342, 0]","{0: [0.9960684084005439, 0.9981998173169876], 1: [0.29023785203560487, 0.755455002513826]}","{0: [0.994469582704877, 0.9869396697000337, 0.9944695827048768, 0.994469582704877, 0.9997114860322182], 1: [0, 0.2986425339366516, 0, 0, 0.9506787330316743]}","{0: [0.9981664956517351, 0.9982820330773984, 0.9944695827048768, 0.9960684084005439, 0.9879197488159226, 0.986588320583017], 1: [0.6696969696969698, 0.7639876463405875, 0, 0.29023785203560487, 0.3152337858220211, 0.29311211664152836]}","{0: [0.9944695827048768, 0.9944695827048768, 0.9982213103259946, 0.9944695827048768, 0.994469582704877, 0.994469582704877, 0.9944695827048767, 0.994469582704877, 0.9944695827048768, 0.9944695827048767, 0.994469582704877, 0.9944695827048767, 0.9944695827048768, 0.9944695827048768, 0.9944695827048767, 0.994469582704877, 0.9944695827048768, 0.9944695827048768, 0.9944695827048767, 0.9636627906976744, 0.9944695827048768, 0.9944695827048768, 0.9979143198760511, 0.9944695827048767, 0.9944695827048767, 0.9944695827048768, 0.994469582704877, 0.9944695827048768, 0.994469582704877, 0.997910653925309, 0.9576773075256391, 0.9944695827048768, 0.8379676440849342], 1: [0, 0, 0.7576671694318754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13273001508295626, 0, 0, 0.7272498743086978, 0, 0, 0, 0, 0, 0, 0.6235109717868338, 0.11613876319758673, 0, 0.033182503770739065]}"
7,G&M,2,FairDEN_v2,10,0.6431531302180744,0.49346983485001683,0.4932941602915085,0.4189838220424671,1978,11,"[0.9960684084005439, 0.29023785203560487]","[0.9869396697000337, 0]","[0.986588320583017, 0]","[0.8379676440849342, 0]","{0: [0.9960684084005439, 0.9981998173169876], 1: [0.29023785203560487, 0.755455002513826]}","{0: [0.994469582704877, 0.9869396697000337, 0.9944695827048768, 0.994469582704877, 0.9997114860322182], 1: [0, 0.2986425339366516, 0, 0, 0.9506787330316743]}","{0: [0.9981664956517351, 0.9982820330773984, 0.9944695827048768, 0.9960684084005439, 0.9879197488159226, 0.986588320583017], 1: [0.6696969696969698, 0.7639876463405875, 0, 0.29023785203560487, 0.3152337858220211, 0.29311211664152836]}","{0: [0.9944695827048768, 0.9944695827048768, 0.9982213103259946, 0.9944695827048768, 0.994469582704877, 0.994469582704877, 0.9944695827048767, 0.994469582704877, 0.9944695827048768, 0.9944695827048767, 0.994469582704877, 0.9944695827048767, 0.9944695827048768, 0.9944695827048768, 0.9944695827048767, 0.994469582704877, 0.9944695827048768, 0.9944695827048768, 0.9944695827048767, 0.9636627906976744, 0.9944695827048768, 0.9944695827048768, 0.9979143198760511, 0.9944695827048767, 0.9944695827048767, 0.9944695827048768, 0.994469582704877, 0.9944695827048768, 0.994469582704877, 0.997910653925309, 0.9576773075256391, 0.9944695827048768, 0.8379676440849342], 1: [0, 0, 0.7576671694318754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13273001508295626, 0, 0, 0.7272498743086978, 0, 0, 0, 0, 0, 0, 0.6235109717868338, 0.11613876319758673, 0, 0.033182503770739065]}"
