,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_-1,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed
0,G&M&R,2,FairDEN_v1,11,0.8540611276814591,0.7403408299493202,0.8042661316314684,0.3316582914572864,1.0,670,1320,"[0.8001986895948152, 0.907923565768103]","[0.6364605543710021, 0.8442211055276382]","[0.7293249057205077, 0.8792073575424292]","[0, 0.6633165829145728]","{0: [0.8001986895948152, 0.9151055276381909], 1: [0.907923565768103, 0.9529121234419249]}","{0: [0.7996231155778895, 0.6364605543710021, 0.7425373134328358, 0.8100407055630936, 0.9635532069666134], 1: [0.8728070175438596, 0.8442211055276382, 0.8844221105527639, 0.9120603015075377, 0.9808007399577168]}","{0: [0.7293249057205077, 0.8263248356665837, 0.8662935323383085, 0.8152416089695983, 0.8486140724946696, 0.9029237094563728], 1: [0.8792073575424292, 0.8933188265635075, 0.9364469405852793, 0.9142615733534932, 0.928643216080402, 0.9454288649203904]}","{0: [0, 0.49502487562189057, 0.6740764263787445, 0.9900497512437811, 0.9900497512437811, 0.9453034402783146, 0, 0, 0.9258793969849247, 0.6733668341708543, 0.5940298507462687, 0.6854190585533869, 0.7850614767571832, 0.6854190585533869, 0.8623013962445835, 0.9900497512437811, 0.9048366834170853, 0.6733668341708543, 0, 0.6600331674958541, 0.9026924202516827, 0.8978224455611391, 0.9138920780711826, 0.9504477611940298, 0.49502487562189057, 0.7925009663703131, 0.9900497512437811, 0.9900497512437811, 0.8417085427135679, 0.3712686567164179, 0.7034564021995287, 0.8417085427135679, 0.8645982416683705, 0.9379418695993715, 0, 0.6733668341708543], 1: [0.6633165829145728, 0.7959798994974874, 0.8580517265225208, 0.9949748743718593, 0.9949748743718593, 0.9706309672063097, 0.663316582914573, 0.663316582914573, 0.959366391184573, 0.7537878787878787, 0.8291457286432161, 0.8623115577889447, 0.9016339180934613, 0.8623115577889447, 0.9346733668341709, 0.9949748743718593, 0.9466173361522199, 0.7537878787878787, 0.663316582914573, 0.8528356066044508, 0.9529336824969921, 0.9422348484848484, 0.9581239530988275, 0.975465563109666, 0.7959798994974874, 0.8671023965141612, 0.9949748743718593, 0.9949748743718593, 0.9045454545454545, 0.7580760947595119, 0.869173453474268, 0.9045454545454545, 0.9356929575413298, 0.9694626981059143, 0.6633165829145728, 0.7537878787878788]}"
1,G&M&R,2,FairDEN_v2,11,0.8369957177863573,0.7516092598723743,0.8017635014060787,0.2486256871564218,1.0,1334,656,"[0.899982893189351, 0.7740085423833636]","[0.8531749657377798, 0.6500435540069686]","[0.8802282440238577, 0.7232987587882995]","[0.4972513743128436, 0]","{0: [0.899982893189351, 0.9483999721993308], 1: [0.7740085423833636, 0.9050342622201919]}","{0: [0.9421604986980192, 0.8531749657377798, 0.8625505148118213, 0.9217336683417087, 0.9774458700882118], 1: [0.894759511844939, 0.6500435540069686, 0.6759510869565217, 0.8273281596452328, 0.9561466692653826]}","{0: [0.8802282440238577, 0.8807697215222177, 0.8938023450586264, 0.9020067942303309, 0.9180904522613065, 0.9607907910451554], 1: [0.7232987587882995, 0.8048554460614762, 0.7583841463414634, 0.7790784167873781, 0.8185733643050717, 0.9261545824359895]}","{0: [0.6703517587939699, 0.8044221105527637, 0.8671522751371536, 0.4972513743128436, 0.9945027486256871, 0.9195744593456697, 0.6703517587939699, 0.6703517587939699, 0.9217336683417087, 0.7458770614692652, 0.6703517587939699, 0.7689328997930831, 0.8847084258501811, 0.8714572864321608, 0.9035175879396985, 0.6703517587939699, 0.9019908650326001, 0.6703517587939699, 0.6703517587939699, 0.754145728643216, 0.9630405548871117, 0.9323463268365816, 0.9753776957675009, 0.9845577211394303, 0.8044221105527638, 0.8638523875317243, 0.9945027486256872, 0.9945027486256872, 0.8950524737631184, 0.6703517587939699, 0.8783919597989951, 0.8950524737631184, 0.9456169737576772, 0.9797448782373407, 0.6703517587939699, 0.8950524737631184], 1: [0, 0.505589430894309, 0.6884622037709739, 0.4944723618090452, 0.9889447236180905, 0.8594400574300071, 0, 0, 0.8273281596452328, 0.6592964824120603, 0, 0.3889149468417761, 0.7349978510798324, 0.700046904315197, 0.7828481510621558, 0, 0.8338161395211351, 0, 0, 0.337059620596206, 0.9219571975131516, 0.8790619765494139, 0.9523171412618648, 0.9695536506059711, 0.505589430894309, 0.7831705109397922, 0.9889447236180904, 0.9889447236180904, 0.8241206030150754, 0, 0.7184691912708601, 0.8241206030150754, 0.8830500334112931, 0.9579589216944799, 0, 0.8241206030150754]}"
2,G&M&R,2,FairDEN_v1,13,0.8617436269038344,0.7841588387010812,0.8239086286804498,0.3094867807153966,1.0,704,1286,"[0.8153093934591558, 0.9081778603485131]","[0.7066761363636364, 0.861641541038526]","[0.7627615440115441, 0.8850557133493554]","[0, 0.6189735614307932]","{0: [0.8153093934591558, 0.921018887541154], 1: [0.9081778603485131, 0.9530553180970823]}","{0: [0.8402010050251256, 0.7066761363636364, 0.783488759881423, 0.7709194214876032, 0.9689210383125819], 1: [0.895882786281411, 0.861641541038526, 0.8940340801753127, 0.8885678391959799, 0.9824405945965495]}","{0: [0.7645179553542543, 0.837639076997076, 0.9422348484848485, 0.8257788559754853, 0.7627615440115441, 0.8696817420435511], 1: [0.8858095354822895, 0.8938900102577678, 0.9693467336683417, 0.9129297280051049, 0.8850557133493554, 0.9179692648338035]}","{0: [0, 0.6281565656565657, 0.7417593488072212, 0.9422348484848485, 0.9422348484848485, 0.9932740626207962, 0, 0, 0.7782914572864322, 0.7075376884422111, 0.8844221105527638, 0.6523164335664335, 0.8094087905486583, 0.6523164335664335, 0.7294721407624634, 0.9422348484848485, 0.950753768844221, 0.7075376884422111, 0, 0.7959798994974874, 0.8313836898395721, 0.9433835845896149, 0.8697552447552448, 0.9045454545454545, 0.47111742424242425, 0.79832792279984, 0.9422348484848485, 0.9422348484848485, 0.8844221105527638, 0.7066761363636364, 0.7438696172248803, 0.8844221105527638, 0.8518835616438357, 0.8926435406698563, 0.9422348484848485, 0.5896147403685092], 1: [0.6462311557788945, 0.8308686288585786, 0.8761403169694626, 0.9693467336683417, 0.9693467336683416, 0.9962930612070986, 0.6462311557788946, 0.6462311557788946, 0.8440548564965361, 0.7737169517884913, 0.9284603421461898, 0.8401005025125629, 0.9055214343321546, 0.8401005025125627, 0.8710072099628577, 0.9693467336683417, 0.9716445441064777, 0.7737169517884913, 0.6462311557788946, 0.8596855019872128, 0.9154941373534339, 0.9671461897356143, 0.9334450027917365, 0.9503399349689625, 0.7754773869346733, 0.8617082914036532, 0.9693467336683417, 0.9693467336683417, 0.9284603421461898, 0.861641541038526, 0.8770279971284997, 0.9284603421461898, 0.9249975367031235, 0.9444916892153074, 0.9693467336683417, 0.6189735614307932]}"
3,G&M&R,2,FairDEN_v2,13,0.8292390464992754,0.7750377762940577,0.7314846834787014,0.2601307189542484,1.0,1275,715,"[0.8865875429780481, 0.7718905500205026]","[0.8542713567839195, 0.6958041958041958]","[0.767165171153207, 0.6958041958041958]","[0.5202614379084968, 0]","{0: [0.8865875429780481, 0.9406051162186729], 1: [0.7718905500205026, 0.9042294807370184]}","{0: [0.9036119711042311, 0.8542713567839195, 0.8931018730013704, 0.8809673366834172, 0.981842225262198], 1: [0.8533291457286433, 0.6958041958041958, 0.7865612648221344, 0.7590591226954863, 0.968636284872639]}","{0: [0.8573223259152908, 0.8700542344597414, 0.8542713567839195, 0.8909783291457286, 0.8774852523486999, 0.767165171153207], 1: [0.703232710350148, 0.8118718592964824, 0.6958041958041958, 0.7818024671957257, 0.7510267510267511, 0.7066164154103852]}","{0: [0.6407035175879398, 0.7688442211055276, 0.8287999631183439, 0.5202614379084968, 0.9610552763819096, 0.9407467096427612, 0.6407035175879398, 0.6407035175879398, 0.8809673366834172, 0.780392156862745, 0.6407035175879398, 0.8060463608364403, 0.8657124910265613, 0.8329145728643216, 0.8635569150098318, 0.9610552763819096, 0.7622435020519837, 0.780392156862745, 0.6407035175879398, 0.8237616654702081, 0.9471269390430413, 0.9754901960784312, 0.9004524886877828, 0.936470588235294, 0.7688442211055276, 0.8528207099833397, 0.9610552763819096, 0.9610552763819096, 0.936470588235294, 0.6407035175879398, 0.9017308766052485, 0.936470588235294, 0.9307732693317332, 0.936412833397758, 0.9610552763819096, 0.624313725490196], 1: [0, 0.46386946386946387, 0.6316520359073551, 0.5389447236180904, 0.9277389277389277, 0.9044359729682897, 0, 0, 0.7590591226954863, 0.7185929648241207, 0, 0.5709162632239555, 0.7233911462986353, 0.64228079612695, 0.7182494924430408, 0.9277389277389277, 0.7022613065326633, 0.7185929648241207, 0, 0.6184926184926185, 0.9004524886877828, 0.9581239530988276, 0.8492462311557788, 0.8982412060301508, 0.46386946386946387, 0.7921089597845133, 0.9277389277389277, 0.9277389277389277, 0.8982412060301508, 0, 0.8056680161943319, 0.8982412060301508, 0.8673723536737235, 0.8789105631210894, 0.9277389277389277, 0.5988274706867672]}"
4,G&M&R,2,FairDEN_v1,15,0.8747847690367585,0.7841588387010812,0.8251637454182719,0.3231155778894472,1.0,1286,704,"[0.916341256846028, 0.8332282812274889]","[0.861641541038526, 0.7066761363636364]","[0.8858095354822895, 0.7645179553542543]","[0.6462311557788945, 0]","{0: [0.916341256846028, 0.9576099432731735], 1: [0.8332282812274889, 0.9281310025028616]}","{0: [0.895882786281411, 0.861641541038526, 0.9008070656311862, 0.9847306659126255, 0.984239936344895], 1: [0.8402010050251256, 0.7066761363636364, 0.7988512845849802, 0.9728643216080403, 0.9720166326841877]}","{0: [0.8858095354822895, 0.902121041659773, 0.9693467336683417, 0.9233991056198423, 0.9047236180904521, 0.9441969581147692], 1: [0.7645179553542543, 0.8483232488975491, 0.9422348484848485, 0.848465088282504, 0.8076298701298703, 0.9074939916976186]}","{0: [0.6462311557788945, 0.8308686288585786, 0.8677961234745155, 0.9693467336683417, 0.9693467336683416, 0.9962930612070986, 0.6462311557788946, 0.6462311557788946, 0.8440548564965361, 0.7737169517884913, 0.9284603421461898, 0.8690694853578237, 0.9226067444138933, 0.8401005025125627, 0.9105984467793514, 0.9693467336683417, 0.9716445441064777, 0.7737169517884913, 0.6462311557788946, 0.8596855019872128, 0.9283884209781301, 0.9671461897356143, 0.9334450027917365, 0.9231873653984207, 0.9693467336683417, 0.8718222384858557, 0.9693467336683417, 0.9693467336683417, 0.9284603421461898, 0.861641541038526, 0.9095105155406664, 0.9284603421461898, 0.9249975367031235, 0.9444916892153074, 0.9693467336683417, 0.7737169517884914], 1: [0, 0.6281565656565657, 0.7217117988394585, 0.9422348484848485, 0.9422348484848485, 0.9932740626207962, 0, 0, 0.7782914572864322, 0.7075376884422111, 0.8844221105527638, 0.7247960372960373, 0.8467661193432118, 0.6523164335664335, 0.8206561583577713, 0.9422348484848485, 0.950753768844221, 0.7075376884422111, 0, 0.7959798994974874, 0.8590964795008913, 0.9433835845896149, 0.8697552447552448, 0.8480113636363635, 0.9422348484848485, 0.8102789396082207, 0.9422348484848485, 0.9422348484848485, 0.8844221105527638, 0.7066761363636364, 0.8182565789473684, 0.8844221105527638, 0.8518835616438357, 0.8926435406698563, 0.9422348484848485, 0.7075376884422111]}"
5,G&M&R,2,FairDEN_v2,15,0.8460328398177324,0.7465274460240037,0.7461740658183891,0.32236180904522616,1.0,707,1283,"[0.79400695333287, 0.8980587263025946]","[0.6534148312790462, 0.8396400607689611]","[0.7036775106082037, 0.7886706210285744]","[0, 0.6447236180904523]","{0: [0.79400695333287, 0.9127043535256623], 1: [0.8980587263025946, 0.9472945869945866]}","{0: [0.8437814070351759, 0.6534148312790462, 0.7954615337310128, 0.7676481933907676, 0.9684237351575627], 1: [0.897977601837798, 0.8396400607689611, 0.8987056494594183, 0.8864949748743719, 0.9820324820098244]}","{0: [0.7312236053295212, 0.8286843647517986, 0.7036775106082037, 0.8042028692665184, 0.8042028692665186, 0.7228036735401143], 1: [0.8709968109779668, 0.8860798328385932, 0.8596314907872696, 0.9026130653266332, 0.9026130653266331, 0.7886706210285744]}","{0: [0, 0.4691183404054691, 0.6387994422542559, 0.9382366808109384, 0.9382366808109383, 0.8943164096343788, 0, 0, 0.7676481933907676, 0.7105527638190955, 0, 0.5773764189605773, 0.768775430091782, 0.6495484713306495, 0.8171738832869462, 0.9382366808109384, 0.6944038373686615, 0.7105527638190955, 0, 0.9382366808109383, 0.9382366808109383, 0.9474036850921275, 0.8397441754225674, 0.9349378471303887, 0.4691183404054692, 0.8088881909547739, 0.9382366808109384, 0.9382366808109384, 0.8881909547738693, 0, 0.8147844859673936, 0.8881909547738693, 0.8771870337718705, 0.8888558028735204, 0.9382366808109384, 0.7105527638190955], 1: [0.6447236180904523, 0.7736683417085427, 0.8340002766124198, 0.9670854271356784, 0.9670854271356782, 0.9348807909544199, 0.6447236180904523, 0.6447236180904523, 0.8864949748743719, 0.7755261106780982, 0.6447236180904523, 0.8111039066299239, 0.8869834018577737, 0.838140703517588, 0.9084741891274554, 0.9670854271356784, 0.757490619732096, 0.7755261106780982, 0.6447236180904523, 0.9670854271356782, 0.9670854271356784, 0.9694076383476227, 0.8948378200131902, 0.9616523772408416, 0.7736683417085427, 0.8698057555056317, 0.9670854271356784, 0.9670854271356784, 0.9306313328137179, 0.6447236180904523, 0.907388795831007, 0.9306313328137179, 0.9366134153353834, 0.9422883649014303, 0.9670854271356784, 0.7755261106780982]}"
6,G&M&R,2,FairDEN_v1,10,0.3067608476286579,0.3067608476286579,0.15302493929297492,0.0,9.0,1216,766,"[0.6135216952573158, 0]","[0.6135216952573158, 0]","[0.30604987858594984, 0]","[0, 0]","{0: [0.6135216952573158, 0.7057820230628384], 1: [0, 0.6816347124117054]}","{0: [0.6135216952573158, 0.6135216952573158, 0.6135216952573158, 0.6135216952573158, 0.9006528990408263], 1: [0, 0, 0, 0, 0.863773965691221]}","{0: [0.6135216952573158, 0.30604987858594984, 0.6135216952573158, 0.6135216952573158, 0.6135216952573158, 0.7239556004036326], 1: [0, 0.4758226948747446, 0, 0, 0, 0.39469841129353456]}","{0: [0.6135216952573158, 0.6135216952573159, 0.6135216952573158, 0.6135216952573158, 0.6135216952573159, 0.6135216952573159, 0.6135216952573159, 0.6135216952573159, 0.6135216952573158, 0.6135216952573159, 0.6135216952573159, 0.6135216952573158, 0.6135216952573158, 0.6135216952573158, 0.6135216952573158, 0.6135216952573158, 0.6135216952573159, 0.6135216952573159, 0.6135216952573159, 0.6135216952573159, 0.6135216952573159, 0.6135216952573159, 0.6135216952573158, 0.6135216952573158, 0.6135216952573158, 0, 0.6135216952573158, 0.6135216952573158, 0.6135216952573159, 0.6135216952573159, 0.6135216952573158, 0.6135216952573159, 0.6135216952573159, 0.6135216952573158, 0.6135216952573158, 0.16299342105263157], 1: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.38647830474268413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.42942033860298245]}"
7,G&M&R,2,FairDEN_v2,10,0.49748869914615773,0.4974886991461576,0.4940066222332498,0.4522715800100959,,1981,10,"[0.9949773982923155, 0]","[0.9949773982923152, 0]","[0.9880132444664996, 0]","[0.9045431600201917, 0]","{0: [0.9949773982923155, 0.9976578970810939], 1: [0, 0.683073832245103]}","{0: [0.9949773982923152, 0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9992080488053122], 1: [0, 0, 0, 0, 0.8643897538925164]}","{0: [0.9949773982923154, 0.9954353821452578, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9880132444664996], 1: [0, 0.5251409118812433, 0, 0, 0, 0.29633350075339027]}","{0: [0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9949773982923155, 0.9949773982923155, 0.9949773982923154, 0.9949773982923156, 0.9949773982923156, 0.9949773982923154, 0.9949773982923156, 0.9949773982923155, 0.9949773982923154, 0.9949773982923155, 0.9949773982923154, 0.9949773982923154, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923156, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923154, 0.9949773982923154, 0.9949773982923155, 0.993239298136474, 0.9949773982923155, 0.9949773982923155, 0.9949773982923155, 0.9949773982923156, 0.9949773982923152, 0.9949773982923155, 0.9949773982923154, 0.9949773982923152, 0.9949773982923155, 0.9045431600201917], 1: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.42747921200959876, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.050226017076845805]}"
