,Data,Algorithm,min_pts,DCSI,Balance_gender,Balance_race,Balance_marital_status,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,Setting,Degree,Balance_Mixed
0,adult_gr,GroundTruth,5,1.2690119396135847e-05,0.6223781818178138,0.6648796637498406,0.35803633410612073,1.0,1.0,0.0,True,0.05792044112717477,0.027807572920084917,,,
1,adult_gr,GroundTruth_DB,5,0.8003590150480295,0.4984464008285862,0.49844640082858616,0.49816571252873393,0.05792044112717477,0.027807572920084917,0.028672032193158954,True,1.0,1.0,,,
2,adult_gr,FairDEN_v1,11,0.0685601589682557,0.9853743357813267,0.822210914303281,0.49490271279719344,0.035199852973983585,0.008405232487646576,0.0,True,0.06561111534892942,0.09091215172297337,G&R,2.0,0.23356831151393087
3,adult_gr,FairDEN_v2,11,0.07444407570236977,0.9969161007175811,0.8256078286893664,0.4820866365906633,0.03484373970890411,0.007662494666114633,0.0,True,0.07213924463773912,0.09489443174216541,G&R,2.0,0.22958013692980286
4,adult_gr,FairDEN_v1,13,0.006517245196254854,0.9957911132896109,0.8231873383136461,0.4926633638603123,0.03555931078326105,0.008432499058827116,0.0,True,0.06671641797232135,0.09158571649626153,G&R,2.0,0.2328647925033467
5,adult_gr,FairDEN_v2,13,0.07444407570236977,0.9939015207002808,0.7994093286797701,0.48819799519684604,0.03734927731274229,0.008904228687668351,0.0,True,0.06896437242587546,0.09295646217646858,G&R,2.0,0.23147039254823684
6,adult_gr,FairDEN_v1,15,0.006517245196254854,0.99555738763429,0.8237426549567195,0.498187432867884,0.039941431227512675,0.009545236214633141,0.0,True,0.0727272442360831,0.09525361703569424,G&R,2.0,0.24561403508771928
7,adult_gr,FairDEN_v2,15,0.006517245196254854,0.9969362856322959,0.8017926288993023,0.48264086814504636,0.03772975658135834,0.008771051980330761,0.0,True,0.07184650261449682,0.0947156386798189,G&R,2.0,0.22975070166749215
8,adult_gr,FairDEN_v1,10,0.0685601589682557,0.9866878520919513,0.8257873957751902,0.46994658192393934,0.036996538158539746,0.008710136299802097,0.0,True,0.06953429295804578,0.09330417093366154,G&R,2.0,0.2146155123733599
9,adult_gr,FairDEN_v2,10,0.0685601589682557,0.9875850082441177,0.7719482185565556,0.4509663617988774,0.03736281010346043,0.008740271751879164,0.0,True,0.0706838379075221,0.0940057412892041,G&R,2.0,0.19751614505712867
