,Data,Algorithm,min_pts,DCSI,Balance_gender,Balance_race,Balance_marital_status,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,Setting,Degree,Balance_Mixed
0,adult_gmr,GroundTruth,5,8.445200330473257e-05,0.6181529097182494,0.5024102613808924,0.435914912996606,1.0,1.0,0.0,True,0.03775414590769975,0.014358265159474786,,,
1,adult_gmr,GroundTruth_DB,5,0.0,1.0,1.0,1.0,0.03775414590769975,0.014358265159474786,0.026619789050728277,True,1.0,1.0,,,
2,adult_gmr,FairDEN_v1,11,0.05622692258469867,0.8540611276814591,0.7403408299493202,0.8042661316314684,0.05232102102332332,0.016879314842614755,0.0005022601707684581,True,0.0532064569069018,0.07338540365239417,G&M&R,2.0,0.3316582914572864
3,adult_gmr,FairDEN_v2,11,0.11441877673593816,0.8369957177863573,0.7516092598723743,0.8017635014060787,0.05587286731767059,0.01791903879161892,0.0005022601707684581,True,0.05636476694745155,0.075321973295926,G&M&R,2.0,0.2486256871564218
4,adult_gmr,FairDEN_v1,13,0.015547303144018303,0.8617436269038344,0.7841588387010812,0.8239086286804498,0.045416179075139965,0.015151089118608973,0.0005022601707684581,True,0.04603297372049907,0.06899267572265294,G&M&R,2.0,0.3094867807153966
5,adult_gmr,FairDEN_v2,13,0.034873747255097544,0.8292390464992754,0.7750377762940577,0.7314846834787014,0.049626089690274676,0.017836844934915233,0.0005022601707684581,True,0.043851450140216276,0.06765806574878412,G&M&R,2.0,0.2601307189542484
6,adult_gmr,FairDEN_v1,15,0.021605887535532036,0.8747847690367585,0.7841588387010812,0.8251637454182719,0.04332856137740025,0.014145389480353454,0.0005022601707684581,True,0.04603297372049907,0.06899267572265294,G&M&R,2.0,0.3231155778894472
7,adult_gmr,FairDEN_v2,15,0.019844568087329796,0.8460328398177324,0.7465274460240037,0.7461740658183891,0.04532287514160139,0.015248460372264913,0.0005022601707684581,True,0.04543158004864374,0.06862470819935397,G&M&R,2.0,0.32236180904522616
8,adult_gmr,FairDEN_v1,10,1.427392554781995e-06,0.3067608476286579,0.3067608476286579,0.15302493929297492,0.18130765394218631,0.12267158198890521,0.0045203415369161224,True,0.01906653628633898,0.04121608411452602,G&M&R,2.0,0.0
9,adult_gmr,FairDEN_v2,10,0.9751258089936959,0.49748869914615773,0.4974886991461576,0.4940066222332498,0.020267649038270344,0.023730387294968423,0.0,True,0.30468861756879756,0.24233430882696097,G&M&R,2.0,0.4522715800100959
