,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed
0,R,2,FairDEN_v1,11,0.9130972879080068,0.851061388410786,0.5790041293495711,0.0,1362,630,"[0.947055179141072, 0.8791393966749417]","[0.9116465863453815, 0.7904761904761906]","[0.6133295438397044, 0.5446787148594378]","[0, 0]","{0: [0.947055179141072, 0.9739605112595746], 1: [0.8791393966749417, 0.9467053234966297]}","{0: [0.9463591604042498, 0.9116465863453815, 0.976764199655766, 0.9402139710509755, 0.9950521270686113], 1: [0.8960843373493975, 0.7904761904761906, 0.9485714285714285, 0.8855421686746988, 0.9894163811208134]}","{0: [0.9833491268444565, 0.9043896924096527, 0.97503671071953, 0.875795316095844, 0.8651340054093926, 0.6133295438397044], 1: [0.9633928571428573, 0.8287061288632791, 0.9487951807228916, 0.6934001670843776, 0.6629800307219662, 0.5446787148594378]}","{0: [0.7312775330396476, 0.6837349397590361, 0.9750367107195301, 0.9310433222250705, 0.97503671071953, 0.9401355421686748, 0.7312775330396476, 0.8775330396475771, 0.7312775330396476, 0.6837349397590361, 0.8357457520453115, 0.6837349397590361, 0.6837349397590361, 0.859552495697074, 0.8583846254583551, 0.7312775330396476, 0.9572289156626506, 0.7748995983935743, 0.9140969162995596, 0.5707531965187493, 0.6837349397590361, 0.97503671071953, 0.9335457868591247, 0.5850220264317181, 0.9402139710509755, 0.793958464443046, 0.5850220264317181, 0.9138447516329941, 0.97503671071953, 0.9750367107195302, 0.9116465863453813, 0.7976907630522088, 0.9116465863453815, 0.7976907630522088, 0.8977495347242629, 0.9572289156626506, 0.8621005762179152, 0, 0.6647977573087704], 1: [0.6325301204819277, 0, 0.9487951807228915, 0.8398809523809525, 0.9487951807228916, 0.8623376623376624, 0.6325301204819277, 0.7906626506024097, 0.6325301204819277, 0, 0.7379518072289156, 0, 0, 0.6467532467532467, 0.6433312719027005, 0.6325301204819277, 0.9034013605442177, 0.3719887955182073, 0.8433734939759034, 0.5186746987951807, 0, 0.9487951807228916, 0.8743798724309, 0.5271084337349398, 0.8855421686746988, 0.6918298192771084, 0.5271084337349398, 0.8429859142452161, 0.9487951807228916, 0.9487951807228915, 0.7904761904761906, 0.45170068027210886, 0.7904761904761906, 0.45170068027210886, 0.7537667698658411, 0.9034013605442177, 0.6541871921182266, 0.31626506024096385, 0.5798192771084337]}"
1,R,2,FairDEN_v1,13,0.9154144619650152,0.9114425957799452,0.5713687825157898,0.0,1344,648,"[0.946971923169396, 0.8838570007606343]","[0.9445783132530121, 0.8783068783068783]","[0.5976382488479263, 0.5450993161836535]","[0, 0]","{0: [0.946971923169396, 0.9739172711027015], 1: [0.8838570007606343, 0.9486788355137288]}","{0: [0.9590336134453782, 0.9445783132530121, 0.9707896333535582, 0.9528061224489796, 0.9953393380812736], 1: [0.9216867469879519, 0.8783068783068783, 0.9375925925925926, 0.9108433734939759, 0.9904259896729777]}","{0: [0.981380065717415, 0.9050252844500632, 0.988095238095238, 0.8757001440296289, 0.8714859437751004, 0.5976382488479263], 1: [0.9606481481481481, 0.8354326396495071, 0.9759036144578315, 0.7055988737275287, 0.6941457586618877, 0.5450993161836535]}","{0: [0.7410714285714286, 0.6746987951807228, 0.9175170068027212, 0.9286176965928228, 0.988095238095238, 0.9277108433734941, 0.7410714285714286, 0.8892857142857143, 0.7410714285714286, 0.674698795180723, 0.846938775510204, 0.6746987951807228, 0.6746987951807228, 0.8481927710843373, 0.8563484708063022, 0.7410714285714286, 0.9445783132530121, 0.819277108433735, 0.9263392857142857, 0.542247386759582, 0.674698795180723, 0.988095238095238, 0.946048632218845, 0.5928571428571429, 0.8998724489795918, 0.8045918367346939, 0.5928571428571429, 0.9138177339901478, 0.988095238095238, 0.9880952380952381, 0.8995983935742972, 0.9445783132530121, 0.8995983935742972, 0.7871485943775101, 0.9005277307577416, 0.9445783132530121, 0.8507071765322157, 0, 0.6737012987012987], 1: [0.6506024096385542, 0, 0.8539156626506024, 0.8405671296296297, 0.9759036144578315, 0.8383838383838383, 0.6506024096385542, 0.8132530120481928, 0.6506024096385542, 0, 0.7590361445783133, 0, 0, 0.6287878787878788, 0.6520763187429854, 0.6506024096385542, 0.8783068783068783, 0.5424836601307189, 0.8674698795180723, 0.5129749768303985, 0, 0.9759036144578315, 0.8993621545003544, 0.5421686746987953, 0.828039430449069, 0.7115963855421688, 0.5421686746987953, 0.848357458611424, 0.9759036144578315, 0.9759036144578314, 0.7685185185185186, 0.8783068783068783, 0.7685185185185185, 0.43915343915343913, 0.7708978328173375, 0.8783068783068783, 0.636015325670498, 0.3253012048192771, 0.5963855421686748]}"
2,R,2,FairDEN_v1,15,0.9035487294582827,0.9118303525389684,0.597901771028517,0.0,629,1363,"[0.8655279198908974, 0.941569539025668]","[0.884136546184739, 0.9395241588931978]","[0.5593516924842226, 0.6364518495728114]","[0, 0]","{0: [0.8655279198908974, 0.9410569911223844], 1: [0.941569539025668, 0.9710951203276761]}","{0: [0.8946619812583669, 0.9048376107199637, 0.9500794912559619, 0.884136546184739, 0.9933136605462439], 1: [0.9456648396702774, 0.9579317269076305, 0.9774813539873781, 0.9395241588931978, 0.9968936041120264]}","{0: [0.9525536565977742, 0.8420348058902275, 0.947289156626506, 0.7222826541711991, 0.7151135955690036, 0.5593516924842226], 1: [0.978573511924794, 0.913426265590609, 0.9743213499633162, 0.8863978641840088, 0.8838060575635877, 0.6364518495728114]}","{0: [0.6315261044176705, 0, 0.947289156626506, 0.8164745627980923, 0.947289156626506, 0.8637086284145107, 0.6315261044176705, 0.8119621342512909, 0.6315261044176705, 0, 0.7367804551539492, 0, 0, 0.647781471310883, 0.6306443953502777, 0.6315261044176705, 0.9048376107199637, 0.5588702889740952, 0.8420348058902276, 0.5394285475234271, 0, 0.947289156626506, 0.8729919678714858, 0.5262717536813922, 0.8037604965315809, 0.6907316767068272, 0.5262717536813922, 0.8606323791406225, 0.947289156626506, 0.947289156626506, 0.7917329093799683, 0.9048376107199637, 0.7917329093799682, 0.45241880535998186, 0.8137935786815773, 0.9048376107199637, 0.6552272353489391, 0.31576305220883527, 0.5788989290495316], 1: [0.7307410124724872, 0.6842369477911645, 0.9743213499633162, 0.9219192559712533, 0.9743213499633162, 0.9408258032128514, 0.7307410124724872, 0.8931279041330398, 0.7307410124724872, 0.6842369477911647, 0.8351325856828425, 0.6842369477911645, 0.6842369477911645, 0.8601835915088928, 0.8543715402149137, 0.7307410124724872, 0.9579317269076305, 0.8308591508892714, 0.913426265590609, 0.6059803518064527, 0.6842369477911647, 0.9743213499633162, 0.9328608669861539, 0.5845928099779898, 0.8873283722880201, 0.7933759563987004, 0.5845928099779898, 0.9252693095858527, 0.9743213499633162, 0.9743213499633162, 0.9123159303882195, 0.9579317269076305, 0.9123159303882196, 0.798276439089692, 0.9208688922356091, 0.9579317269076305, 0.8627335428671207, 0, 0.6643100113386247]}"
3,R,2,FairDEN_v1,10,0.9104234474806132,0.8617663978477181,0.5717921058756978,0.0,1373,619,"[0.946420170922301, 0.8744267240389253]","[0.9190093708165996, 0.8045234248788368]","[0.6084157601672815, 0.5351684515841142]","[0, 0]","{0: [0.946420170922301, 0.9736305185628222], 1: [0.8744267240389253, 0.944742055470203]}","{0: [0.938777258900647, 0.9190093708165996, 0.9707845466372533, 0.9326813026740194, 0.9947384945951776], 1: [0.880438420348059, 0.8045234248788368, 0.9332471728594507, 0.8700803212851406, 0.9884641176646886]}","{0: [0.9857530681384757, 0.9099833063700056, 0.9672250546249089, 0.8795742672181261, 0.8721211376116711, 0.6084157601672815], 1: [0.9679422455573506, 0.8335657168734284, 0.9322289156626506, 0.6963126718249583, 0.6747615821564439, 0.5351684515841142]}","{0: [0.7254187909686818, 0.6892570281124497, 0.9649598393574297, 0.9385627616850379, 0.9672250546249089, 0.9477284136546185, 0.7254187909686818, 0.8866229667394999, 0.7254187909686818, 0.6892570281124498, 0.8290500468213506, 0.6892570281124497, 0.6892570281124497, 0.8664945496270797, 0.8606398567241941, 0.7254187909686818, 0.9649598393574297, 0.7323355923694779, 0.9067734887108523, 0.5661805197804346, 0.6892570281124498, 0.9672250546249089, 0.926066541662147, 0.5803350327749454, 0.9326813026740194, 0.8290500468213505, 0.5803350327749454, 0.9185302760127585, 0.9672250546249089, 0.9672250546249089, 0.9190093708165997, 0.8041331994645248, 0.9190093708165996, 0.8041331994645248, 0.9013361136855113, 0.9649598393574297, 0.9085660825118657, 0, 0.659471628153347], 1: [0.6214859437751004, 0, 0.9194553427186707, 0.8548061389337642, 0.9322289156626506, 0.8776619180496401, 0.6214859437751004, 0.7990533562822719, 0.6214859437751004, 0, 0.7250669344042838, 0, 0, 0.6582464385372302, 0.6408325115918008, 0.6214859437751004, 0.9194553427186708, 0.18929962938325573, 0.8286479250334672, 0.5096184738955823, 0, 0.9322289156626506, 0.8591129222773446, 0.517904953145917, 0.8700803212851406, 0.7250669344042838, 0.517904953145917, 0.846949829392759, 0.9322289156626506, 0.9322289156626505, 0.804523424878837, 0.4597276713593354, 0.8045234248788368, 0.4597276713593354, 0.7571985175330229, 0.9194553427186708, 0.7767812378140493, 0.3107429718875502, 0.5696954484605087]}"
