,Data,Algorithm,min_pts,DCSI,Balance_gender,Balance_race,Balance_marital_status,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,Setting,Degree,Balance_Mixed
0,adult_mr,GroundTruth,5,8.445200330473257e-05,0.6181529097182494,0.5024102613808924,0.435914912996606,1.0,1.0,0.0,True,0.03775414590769975,0.014358265159474786,,,
1,adult_mr,GroundTruth_DB,5,0.0,1.0,1.0,1.0,0.03775414590769975,0.014358265159474786,0.026619789050728277,True,1.0,1.0,,,
2,adult_mr,FairDEN_v1,11,0.017706485182629735,0.9094842180358207,0.8193022002967602,0.873660354498763,0.03497206985564259,0.007994330506118091,0.0,True,0.05806949471024505,0.08070295319511302,M&R,2.0,0.2478217575304954
3,adult_mr,FairDEN_v2,11,0.019281770616094828,0.9134510673564535,0.8064983321394714,0.8889843630482038,0.03567702832927983,0.00790219714235525,0.0,True,0.06150676637422419,0.08286745542432604,M&R,2.0,0.24525745257452575
4,adult_mr,FairDEN_v1,13,0.015755945953514112,0.928263844903612,0.8303517416842057,0.8854930377544487,0.030877094338355858,0.006772886894272089,0.0,True,0.055230714157899395,0.07891776747971087,M&R,2.0,0.33324962330487196
5,adult_mr,FairDEN_v2,13,0.015755945953514112,0.9279227070607226,0.8275827715618581,0.9088842672529394,0.029870542149534142,0.006342543863033619,0.0,True,0.055931407306457626,0.0793582030390913,M&R,2.0,0.24949874686716794
6,adult_mr,FairDEN_v1,15,0.023761095044830684,0.9315978160897568,0.848926474252325,0.8998155299897637,0.02830771411584027,0.006305985002730362,0.0,True,0.05070619771430775,0.0760768239220108,M&R,2.0,0.25388931395052283
7,adult_mr,FairDEN_v2,15,0.007021628656574986,0.9336605620440492,0.8383857478784075,0.9003813133798336,0.027990309975807016,0.006143068778652141,0.0,True,0.0511474878664731,0.07635368470747386,M&R,2.0,0.2535014005602241
8,adult_mr,FairDEN_v1,10,0.9751258089936959,0.49748869914615773,0.4974886991461576,0.4940066222332498,0.020267649038270344,0.023730387294968423,0.0,True,0.30468861756879756,0.24233430882696097,M&R,2.0,0.4522715800100959
9,adult_mr,FairDEN_v2,10,0.9751258089936959,0.49748869914615773,0.4974886991461576,0.4940066222332498,0.020267649038270344,0.023730387294968423,0.0,True,0.30468861756879756,0.24233430882696097,M&R,2.0,0.4522715800100959
