,Dim,Time,algorithm
0,5,4.03857159614563,FairDen
1,5,4.034074783325195,FairDen
2,5,4.089053630828857,FairDen
3,5,4.045153617858887,FairDen
4,5,4.100679874420166,FairDen
5,10,3.9740991592407227,FairDen
6,10,3.9979679584503174,FairDen
7,10,4.008002042770386,FairDen
8,10,4.028231859207153,FairDen
9,10,4.0786426067352295,FairDen
10,50,4.466122627258301,FairDen
11,50,4.483130216598511,FairDen
12,50,4.478343725204468,FairDen
13,50,4.45682954788208,FairDen
14,50,4.5153398513793945,FairDen
15,100,4.98742413520813,FairDen
16,100,4.925712585449219,FairDen
17,100,4.952969551086426,FairDen
18,100,4.931833744049072,FairDen
19,100,5.050104856491089,FairDen
20,1000,17.81627321243286,FairDen
21,1000,18.110947847366333,FairDen
22,1000,18.15787100791931,FairDen
23,1000,17.713238954544067,FairDen
24,1000,17.57463502883911,FairDen
