Algorithm,Noise,DCSI,Balance
DBSCAN,0.0,0.8805289191664808,0.3333333333333333
FairDen,0.0,0.44070164046345317,1.0
Scalable,0.0,0.00047323296663335384,0.3635206401163848
FairSC,0.0,3.2347568518572985e-05,0.4
Fairlet,0.0,1.0698182053183766e-06,1.0
