,Dim,Time,Algorithm
0,5,0.07581949234008789,Scalable
1,5,0.13178348541259766,Scalable
2,5,0.07743120193481445,Scalable
3,5,0.07693147659301758,Scalable
4,5,0.0767972469329834,Scalable
5,5,4.623254776000977,FairSC_normalized
6,5,4.54849100112915,FairSC_normalized
7,5,4.552371978759766,FairSC_normalized
8,5,4.591733455657959,FairSC_normalized
9,5,4.532636642456055,FairSC_normalized
10,5,0.6788191795349121,FairSC
11,5,0.6747031211853027,FairSC
12,5,0.677100658416748,FairSC
13,5,0.6674308776855469,FairSC
14,5,0.6790053844451904,FairSC
15,10,0.09560728073120117,Scalable
16,10,0.11358880996704102,Scalable
17,10,0.1700448989868164,Scalable
18,10,0.11281585693359375,Scalable
19,10,0.1129159927368164,Scalable
20,10,4.626563549041748,FairSC_normalized
21,10,4.536013126373291,FairSC_normalized
22,10,4.540090560913086,FairSC_normalized
23,10,4.499602794647217,FairSC_normalized
24,10,4.489327669143677,FairSC_normalized
25,10,0.6680545806884766,FairSC
26,10,0.7023329734802246,FairSC
27,10,0.6815807819366455,FairSC
28,10,0.6855571269989014,FairSC
29,10,0.6952426433563232,FairSC
30,50,0.19222187995910645,Scalable
31,50,0.20721149444580078,Scalable
32,50,0.20899319648742676,Scalable
33,50,0.2608225345611572,Scalable
34,50,0.20945286750793457,Scalable
35,50,4.743800401687622,FairSC_normalized
36,50,4.6197662353515625,FairSC_normalized
37,50,4.584117889404297,FairSC_normalized
38,50,4.657145023345947,FairSC_normalized
39,50,4.63805890083313,FairSC_normalized
40,50,0.6926758289337158,FairSC
41,50,0.6691038608551025,FairSC
42,50,0.6781666278839111,FairSC
43,50,0.7015447616577148,FairSC
44,50,0.7030582427978516,FairSC
45,100,0.28067731857299805,Scalable
46,100,0.2983565330505371,Scalable
47,100,0.3322629928588867,Scalable
48,100,0.3248560428619385,Scalable
49,100,0.3865470886230469,Scalable
50,100,4.76581335067749,FairSC_normalized
51,100,4.544158935546875,FairSC_normalized
52,100,4.589488506317139,FairSC_normalized
53,100,4.591261386871338,FairSC_normalized
54,100,4.604949951171875,FairSC_normalized
55,100,0.6765015125274658,FairSC
56,100,0.6668639183044434,FairSC
57,100,0.665496826171875,FairSC
58,100,0.6938309669494629,FairSC
59,100,0.6804897785186768,FairSC
60,1000,1.5858325958251953,Scalable
61,1000,1.60353422164917,Scalable
62,1000,1.599144458770752,Scalable
63,1000,1.5990796089172363,Scalable
64,1000,1.5986506938934326,Scalable
65,1000,4.5570032596588135,FairSC_normalized
66,1000,4.5029120445251465,FairSC_normalized
67,1000,4.5057737827301025,FairSC_normalized
68,1000,4.565608024597168,FairSC_normalized
69,1000,4.467436790466309,FairSC_normalized
70,1000,0.7781493663787842,FairSC
71,1000,0.7607250213623047,FairSC
72,1000,0.7703156471252441,FairSC
73,1000,0.7804503440856934,FairSC
74,1000,0.7704088687896729,FairSC
