,Data,Algorithm,N_cluster,min_pts,DCSI,Balance,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB
0,adult5,GroundTruth,2,11.0,2.6705556227051503e-06,0.663467600903439,1.0,1.0,0.0,None,0.0015699158260601372,0.00031001764340344017
1,adult5,GroundTruth_DB,2,11.0,2.6705556227051503e-06,0.663467600903439,1.0,1.0,0.0,None,0.0015699158260601372,0.00031001764340344017
2,adult5,Scalable,2,,0.003996172887086269,0.9902064449110868,0.08396951068068664,0.047377334338170894,0.0,None,-0.005716565661136769,0.012694192006273738
3,adult5,FairDEN,2,,0.05994840190947185,0.8602736011348016,0.04762671215308165,0.014041063175466793,0.0005,None,-0.0088881048523164,0.010422166698773504
4,adult5,FairSC_normalized,2,,3.6576969661268906e-06,0.48509468624238195,0.2737838049811024,0.14066470088164687,0.0,None,-0.012005207313646668,0.008098993161764606
5,adult5,FairSC,2,,9.68253623267263e-06,0.4041496038138806,0.22781694805101238,0.10430508140978348,0.0,None,-0.01301337807979042,0.007234782332982803
6,adult5,Fairlet_MCF Fairlet,2,,0.0,0.9768369793865708,0.0007243067567922723,0.00010408773577299466,0.0,None,-0.002560027656910484,0.00039425915846360925
7,adult5,Scalable,3,,0.0035337553152727155,0.8223591349290852,0.0306036497355255,0.041427335407407624,0.0,None,8.291501070554337e-05,0.012008597162372184
8,adult5,FairDEN,3,,0.17362376893701414,0.8017524450697734,0.038519729637229175,0.016104346782542793,0.0005,None,-0.005274008540363977,0.012140653761351192
9,adult5,FairSC_normalized,3,,0.05664544820592192,0.20487897677602251,0.04791457654769297,0.0644162304130228,0.0,None,0.0021218687045641174,0.008601510453481415
10,adult5,FairSC,3,,0.04350663008952388,0.22866666666666666,0.063960066943642,0.07208624735247754,0.0,None,0.003151362214143503,0.014052127518166037
11,adult5,Fairlet_MCF Fairlet,3,,0.0,0.8743359397721645,0.008820044026686047,0.0018113974030626158,0.0,None,-0.013690308456641499,0.002865997597508687
12,adult5,Scalable,4,,0.0807550014428155,0.8356768869079737,-0.0032169598260019133,0.032700408418238736,0.0,None,-0.0006771926725689764,0.013873947668464028
13,adult5,FairDEN,4,,0.1585799366609158,0.7279466191779813,0.04339994139390505,0.017572348679904294,0.002,None,-0.006606652737474341,0.010778071861186036
14,adult5,FairSC_normalized,4,,0.09474011375436192,0.20857047163136402,0.03210173325414041,0.05470638545052612,0.0,None,0.0017613190291593445,0.012094505422356966
15,adult5,FairSC,4,,0.08055041709794475,0.3795046706090203,0.03178075727954593,0.06499081848972736,0.0,None,0.00364149739440198,0.013659140246311827
16,adult5,Fairlet_MCF Fairlet,4,,0.0,0.8957282256450465,-0.0035783674113747405,0.0007484016798841458,0.0,None,0.0006765390916199573,0.006506758527014336
17,adult5,Scalable,5,,0.04678668512727942,0.8703556331173277,0.05078193778208701,0.061782222065049804,0.0,None,-0.001143174102120056,0.012099237951514028
18,adult5,FairDEN,5,,0.14202027525449745,0.7918891398200779,0.025420716223137754,0.012923996158557818,0.002,None,-0.004860978904034356,0.012092126394743465
19,adult5,FairSC_normalized,5,,0.18469086728543913,0.25234919720004345,0.03331427549241698,0.06561353954125901,0.0,None,-0.0016227998876753387,0.010163772958111428
20,adult5,FairSC,5,,0.11432849809145212,0.14410454654689706,0.012327808626753752,0.06762193313314184,0.0,None,-0.0017272810470038203,0.00860852668979731
21,adult5,Fairlet_MCF Fairlet,5,,0.0,0.8936701297621805,0.0010587820092129148,0.007888738944383411,0.0,None,-0.004736866323254833,0.006624717454244053
22,adult5,Scalable,6,,0.1381684370091983,0.8415736587564417,0.013271322296873346,0.050528536303345785,0.0,None,-0.0018146122743672721,0.012230225941709427
23,adult5,FairDEN,6,,0.1724851100810712,0.8078310874168521,0.012294487749439729,0.012519050107301366,0.002,None,0.0003834914609092073,0.01722543716131096
24,adult5,FairSC_normalized,6,,0.19794331085894398,0.15127614783063922,0.012500596151971296,0.05307920194571841,0.0,None,0.0010172045543030092,0.01348875124919832
25,adult5,FairSC,6,,0.11764870481331081,0.22366877525501572,0.02612425899565633,0.058194566045482295,0.0,None,-0.0008622099285153584,0.013891506555607528
26,adult5,Fairlet_MCF Fairlet,6,,0.0,0.933334347559664,0.012904148257899707,0.007685170295671666,0.0,None,-0.006774552984852839,0.00552193270757398
27,adult5,Scalable,7,,0.16123860481085583,0.8004017871933845,0.04409289118760273,0.05712454167129889,0.0,None,-0.00046888697036983257,0.012358314925150618
28,adult5,FairDEN,7,,0.19067413823022034,0.773833424651304,0.014342978621251687,0.012636504878662573,0.002,None,0.0002071380738595115,0.016682021731443713
29,adult5,FairSC_normalized,7,,0.16247073546972648,0.1583318730649897,0.016815284337546303,0.044043921717682344,0.0,None,-2.7453749734242036e-06,0.011356927238235412
30,adult5,FairSC,7,,0.23127977193312235,0.08510193858347824,0.010283047999440593,0.05760811635240472,0.0,None,-0.0009626858862931361,0.011720100350795981
31,adult5,Fairlet_MCF Fairlet,7,,0.0,0.9106658825501717,-0.014875509403489261,0.006397709384922178,0.0,None,-0.0004992789453967342,0.005909952237086172
32,adult5,Scalable,8,,0.2508060141258874,0.7959340115772103,0.020026270620856792,0.06463661508155819,0.0,None,-0.0005804975729721717,0.01614146883472955
33,adult5,FairDEN,8,,0.18772120418674598,0.7744399263863084,0.017908196216377202,0.01261231733605665,0.002,None,0.004482771204649529,0.023078161358685702
34,adult5,FairSC_normalized,8,,0.19032639492912148,0.14086274706016963,0.015503579673614161,0.037851498180071004,0.0,None,-0.00023581903586032883,0.01297637716353974
35,adult5,FairSC,8,,0.19220692667159223,0.06688295935556568,4.697775339143684e-05,0.0568483176493892,0.0,None,-0.000863782234320479,0.012232393830135316
36,adult5,Fairlet_MCF Fairlet,8,,0.0,0.9250841534501205,0.01542390644474409,0.0065961769862085875,0.0,None,-0.009700899927531913,0.0055738128717803875
37,adult5,Scalable,9,,0.1946396227829387,0.8131299094965927,0.011175945086700384,0.04659778713164199,0.0,None,0.0017698335508425874,0.020360627456812618
38,adult5,FairDEN,9,,0.21548074144878637,0.76298572203948,0.008589582856276593,0.012019521668939303,0.002,None,0.0024963009456874284,0.021319836421002377
39,adult5,FairSC_normalized,9,,0.1965259297808998,0.05688672453436108,0.01102271701959594,0.041604028449355394,0.0,None,-0.00028318869745145404,0.01316331604554423
40,adult5,FairSC,9,,0.1996167608193166,0.08675670783211259,0.016228176253101623,0.05028239267042189,0.0,None,0.0037874197900562324,0.018733811654531776
41,adult5,Fairlet_MCF Fairlet,9,,0.0,0.9165210201359947,0.00037237486499064896,0.007275797575730465,0.0,None,-0.007927371933551983,0.006084652324951964
42,adult5,Scalable,10,,0.3339645149844473,0.7844332520950008,0.0166092063099668,0.05728435908575133,0.0,None,-0.00016834679258759635,0.014594717092931723
43,adult5,FairDEN,10,,0.19417245079863465,0.7501417993152074,0.008992643990107616,0.012200472002848232,0.002,None,0.0024301675292651252,0.021114319784959493
44,adult5,FairSC_normalized,10,,0.2269950346585546,0.07551257793539395,0.004102790084072261,0.05398531337063876,0.0,None,-0.0002773456329255342,0.011042951709282971
45,adult5,FairSC,10,,0.1901472772934035,0.09260870838746375,0.004232718441199929,0.04931158553267406,0.0,None,0.0016166840853304766,0.01664848920871219
46,adult5,Fairlet_MCF Fairlet,10,,0.0,0.9411414964885412,0.04610651697581785,0.01977156359096123,0.0,None,-0.00861701485948074,0.00827731922979357
