,Data,Algorithm,DCSI,Balance,ARI,NMI,Noise,ARI_DB,NMI_DB,N_cluster
0,communities,Fairlet_MCF Fairlet,0.04974017988077238,0.985801511895124,0.15598540197301544,0.04451715498467349,0.0,0.002895127430941029,0.0003750605476952985,2.0
1,adult4,Fairlet_MCF Fairlet,0.0,0.936693932165894,-0.0006197983785793222,4.998454148330331e-05,0.0,-0.0038976073864027514,0.0006029276348127803,2.0
2,diabetes,Fairlet_MCF Fairlet,0.0,0.9676797151869396,8.184964275272525e-05,2.9834451173056373e-05,0.0,-0.0007580548839757408,0.00010474100555115995,2.0
3,diabetes,Fairlet_MCF Fairlet,0.0,0.9513021628033269,,,0.0,0.0023823848022998546,0.001134605441585835,4.0
