,Data,Algorithm,min_pts,DCSI,Balance,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,N_cluster
0,adult4,GroundTruth,11.0,2.6705556227051503e-06,0.663467600903439,1.0,1.0,0.0,None,0.0015699158260601372,0.00031001764340344017,2
1,adult4,GroundTruth_DB,11.0,0.9675933209146912,0.7083333333333333,0.0015699158260601372,0.00031001764340344017,0.991,None,1.0,1.0,2
2,adult4,FairDEN,,0.043598913540216805,0.8604721788196744,0.04645092646573854,0.013639189366204047,0.0005,None,-0.008829004096698422,0.010464625097767851,2
3,adult4,Scalable,,0.007253158919904257,0.9472404649441035,-0.01406301353885886,0.01690992536779867,0.0,None,-0.000875042206137558,0.0080563401325187,2
4,adult4,FairSC_normalized,,3.6576969661268906e-06,0.48509468624238195,0.2737838049811024,0.14066470088164687,0.0,None,-0.012005207313646668,0.008098993161764606,2
5,adult4,FairSC,,9.68253623267263e-06,0.4041496038138806,0.22781694805101238,0.10430508140978348,0.0,None,-0.01301337807979042,0.007234782332982803,2
