,Data,Algorithm,min_pts,DCSI,Balance,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,N_cluster
0,communities,GroundTruth,135.0,0.07417677156411667,0.5210409059230199,1.0,1.0,0.0,None,-0.028436037841868204,0.007292932011822065,2
1,communities,GroundTruth_DB,135.0,0.6510929926648031,0.7346153846153847,-0.028436037841868204,0.007292932011822065,0.9799398194583752,None,1.0,1.0,2
2,communities,FairDEN,,0.1532632591759354,0.9199441617261497,0.090928434958634,0.051362176268924836,0.0005015045135406219,None,-0.022608713702670084,0.01908184727099267,2
3,communities,Scalable,,0.08163261280172776,0.7505168999022699,-0.031694778072948925,0.04187280021092892,0.0,None,0.015457411666247343,0.017035875143598143,2
4,communities,FairSC_normalized,,0.12871195431876373,0.8572406724756171,0.030277656081416388,0.0024206175266384203,0.0,None,-0.02728508224429698,0.0065738156058640015,2
5,communities,FairSC,,0.12871195431876373,0.8233372327335595,0.025235714796858228,0.0017539642767339977,0.0,None,-0.02684166282441146,0.006342484678222167,2
