,Data,Algorithm,min_pts,DCSI,Balance_gender,Balance_race,Balance_marital_status,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,Degree
0,adult_mr,GroundTruth,15,0.00015108802293751675,0.6620232190349273,0.37249999999999994,0.43312813090926294,1.0,1.0,0.0,None,0.04277354770350565,0.006980193367509806,
1,adult_mr,GroundTruth_DB,15,0.0,1.0,1.0,1.0,0.04277354770350565,0.006980193367509806,0.209,None,1.0,1.0,
2,adult_mr,FairDEN_v1,4,-1.0,0.49649999999999994,0.49649999999999994,0.48778952668680764,0.02683512855150684,0.031626992637313646,0.0,None,0.03860507568764248,0.0398744593195705,2.0
3,adult_mr,FairDEN_v2,4,-1.0,0.49649999999999994,0.49649999999999994,0.48778952668680764,0.02683512855150684,0.031626992637313646,0.0,None,0.03860507568764248,0.0398744593195705,2.0
4,adult_mr,FairDEN_v1,5,-1.0,0.49649999999999994,0.49649999999999994,0.48778952668680764,0.02683512855150684,0.031626992637313646,0.0,None,0.03860507568764248,0.0398744593195705,2.0
5,adult_mr,FairDEN_v2,5,-1.0,0.49649999999999994,0.49649999999999994,0.48778952668680764,0.02683512855150684,0.031626992637313646,0.0,None,0.03860507568764248,0.0398744593195705,2.0
6,adult_mr,FairDEN_v1,10,0.09778018640546236,0.8616340910337572,0.5861662443693694,0.7424900016587606,0.03287912039474613,0.012717202800282748,0.001,None,0.403870067836897,0.4050665380256359,2.0
7,adult_mr,FairDEN_v2,10,0.09778018640546236,0.8606772884493268,0.6792613674056973,0.6917884795060573,0.03373018981341623,0.013522891630672475,0.001,None,0.3942158461841946,0.39927129956565316,2.0
8,adult_mr,FairDEN_v1,15,0.05873455462319037,0.8989518829398551,0.6406487369722663,0.7193236483828289,0.046663592231711806,0.015546160793045544,0.001,None,0.5189867422058871,0.4781210317178209,2.0
9,adult_mr,FairDEN_v2,15,0.08192076991112823,0.8681589260165048,0.6289290723388145,0.6890157337767633,0.0503468908714229,0.018121450985586925,0.001,None,0.49404591782551677,0.46160819414397175,2.0
10,adult_mr,FairDEN_v1,9,0.09778018640546236,0.8893394625753738,0.6039881344759394,0.7192935451207509,0.03561195086144917,0.012771203552935036,0.001,None,0.435741041929463,0.41725462920449574,2.0
11,adult_mr,FairDEN_v2,9,0.09778018640546236,0.8754099985523709,0.700418534198695,0.6809788966726755,0.03657610960344822,0.013576310025669775,0.001,None,0.42566757747019224,0.4110415572333875,2.0
