,Data,Algorithm,min_pts,DCSI,Balance_gender,Balance_race,Balance_marital_status,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,Degree
0,adult_gmr,GroundTruth,15,0.00015108802293751675,0.6620232190349273,0.37249999999999994,0.43312813090926294,1.0,1.0,0.0,None,0.04277354770350565,0.006980193367509806,
1,adult_gmr,GroundTruth_DB,15,0.0,1.0,1.0,1.0,0.04277354770350565,0.006980193367509806,0.209,None,1.0,1.0,
2,adult_gmr,FairDEN_v1,4,-1.0,0.497,0.49699999999999994,0.4966641957005189,0.023006082284461504,0.027304830573390258,0.0,None,0.033132312073590485,0.03444870134005188,2.0
3,adult_gmr,FairDEN_v2,4,-1.0,0.497,0.49699999999999994,0.4966641957005189,0.023006082284461504,0.027304830573390258,0.0,None,0.033132312073590485,0.03444870134005188,2.0
4,adult_gmr,FairDEN_v1,5,-1.0,0.497,0.49699999999999994,0.4966641957005189,0.023006082284461504,0.027304830573390258,0.0,None,0.033132312073590485,0.03444870134005188,2.0
5,adult_gmr,FairDEN_v2,5,-1.0,0.497,0.49699999999999994,0.4966641957005189,0.023006082284461504,0.027304830573390258,0.0,None,0.033132312073590485,0.03444870134005188,2.0
6,adult_gmr,FairDEN_v1,10,0.09251603588147558,0.8713418725819699,0.5803766491427159,0.7738718639546034,0.028156828556402273,0.010802745385760773,0.001,None,0.36648418180028236,0.3527321505366737,2.0
7,adult_gmr,FairDEN_v2,10,0.09251603588147558,0.8377610207193793,0.6710437776427625,0.7450807510022748,0.03159931692615292,0.012985177989825498,0.001,None,0.37997221495681965,0.3908015799819447,2.0
8,adult_gmr,FairDEN_v1,15,0.08911679574517928,0.8910953366238042,0.6353992073468817,0.8001124913673363,0.04359773491922334,0.014465892601500212,0.001,None,0.4783253085735544,0.4215891733587582,2.0
9,adult_gmr,FairDEN_v2,15,0.08192076991112823,0.8432181674726194,0.7210326123975149,0.7040653000771911,0.04878661087773872,0.018357421705745083,0.001,None,0.4672006214137929,0.44428494398961604,2.0
10,adult_gmr,FairDEN_v1,9,0.09778018640546236,0.893925101510336,0.6027777777777779,0.7902780722834795,0.029650604075952183,0.010123589328175765,0.001,None,0.4010409714501462,0.3638847496962711,2.0
11,adult_gmr,FairDEN_v2,9,0.09778018640546236,0.8426740576900321,0.7047619047619048,0.7208265250544662,0.038637429227622366,0.014322302657064481,0.001,None,0.42776669307171805,0.40592929523787813,2.0
