,Data,Algorithm,min_pts,DCSI,Balance_['SEX'],ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB
0,creditcard,GroundTruth,10,0.0,0.9445942442561739,1.0,1.0,0.0,None,-0.04609389819901412,0.009527296218919115
1,creditcard,GroundTruth_DB,10,0.9340971231013445,0.753055060154571,-0.04609389819901412,0.009527296218919118,0.11572191794630557,None,1.0,1.0
