,Algorithm,Balance,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,Combined,test
4,DBSCAN,0.781,0.047977873548078,0.008891498497957,0.219,True,1.0,1.0,Adult(gender),Adult(gender)2.0
34,FairDEN,0.83567807704936,0.055882341178081,0.0188445307119255,0.001,False,0.595907334908684,0.5449769723553484,Adult(gender),Adult(gender)2.0
5,FairDEN+,0.9182746404269696,0.0519821376454321,0.0148768171290715,0.0,True,0.6140556862930302,0.5442454545276498,Adult(gender),Adult(gender)2.0
3,GroundTruth,0.7141064149104016,1.0,1.0,0.0,True,0.047977873548078,0.008891498497957,Adult(gender),Adult(gender)0.0
32,GroundTruth,0.7141064149104016,1.0,1.0,0.0,False,0.047977873548078,0.008891498497957,Adult(gender),Adult(gender)0.0
1,DBSCAN,0.779,0.0725948590053689,0.016950731410359,0.221,True,1.0,1.0,Adult(race),Adult(race)2.0
20,FairDEN,0.6920777227722772,0.0652629094995603,0.0205773819139776,0.001,False,0.6382154184522348,0.5399375979308515,Adult(race),Adult(race)2.0
26,FairDEN,0.6920777227722772,0.0652629094995603,0.0205773819139776,0.001,False,0.6382154184522348,0.5399375979308515,Adult(race),Adult(race)2.0
2,FairDEN+,0.693227502750275,0.0681944777496478,0.0204625030818046,0.0,True,0.6350096889779159,0.5353157454040502,Adult(race),Adult(race)2.0
0,GroundTruth,0.3795,1.0,1.0,0.0,True,0.0725948590053689,0.016950731410359,Adult(race),Adult(race)2.0
18,GroundTruth,0.3795,1.0,1.0,0.0,False,0.0725948590053689,0.016950731410359,Adult(race),Adult(race)0.0
7,DBSCAN,0.6155580608793687,0.085754256265744,0.0605937317665235,0.3844419391206313,True,1.0,1.0,"Bank(marital,2)","Bank(marital,2)5.0"
56,FairDEN,0.7804315979358522,0.0663717735188135,0.0553980364008335,0.0056369785794813,False,0.3291159155947859,0.428555315672381,"Bank(marital,2)","Bank(marital,2)5.0"
62,FairDEN,0.906936194355247,0.2009419209387863,0.0898983115627605,0.0011273957158962,False,0.4841914203079168,0.474681106159316,"Bank(marital,2)","Bank(marital,2)2.0"
8,FairDEN+,0.9618969861104264,0.194754508526416,0.0852797450937528,0.0,True,0.4852367722077325,0.4774800586581421,"Bank(marital,2)","Bank(marital,2)2.0"
9,FairDEN+,0.843972239049561,0.0709035442281838,0.0522616369451227,0.0056369785794813,True,0.3191469511610817,0.4210096344387871,"Bank(marital,2)","Bank(marital,2)5.0"
6,GroundTruth,0.9139977983697444,1.0,1.0,0.0,True,0.085754256265744,0.0605937317665235,"Bank(marital,2)","Bank(marital,2)2.0"
54,GroundTruth,0.9139977983697444,1.0,1.0,0.0,False,0.085754256265744,0.0605937317665235,"Bank(marital,2)","Bank(marital,2)0.0"
15,DBSCAN,0.632,0.1009139886758073,0.0681950643071918,0.368,True,1.0,1.0,"Bank(marital,3)","Bank(marital,3)5.0"
42,FairDEN,0.8231164718599573,0.0765524901802967,0.0605386593667505,0.005,False,0.3494387203507413,0.4441740347871549,"Bank(marital,3)","Bank(marital,3)5.0"
48,FairDEN,0.8877582007899838,0.1921203456927041,0.0841614430191008,0.001,False,0.5313659263273659,0.505868057002557,"Bank(marital,3)","Bank(marital,3)2.0"
16,FairDEN+,0.9479459832765252,0.1897419157404864,0.0841884285414949,0.0,True,0.5477502825248958,0.5207832510855258,"Bank(marital,3)","Bank(marital,3)2.0"
17,FairDEN+,0.8264057795736182,0.0772134953308678,0.0598389019827882,0.005,True,0.3554025190710155,0.4448597089177979,"Bank(marital,3)","Bank(marital,3)5.0"
14,GroundTruth,0.9055132825332376,1.0,1.0,0.0,True,0.1009139886758073,0.0681950643071918,"Bank(marital,3)","Bank(marital,3)2.0"
40,GroundTruth,0.9055132825332376,1.0,1.0,0.0,False,0.1009139886758073,0.0681950643071918,"Bank(marital,3)","Bank(marital,3)0.0"
11,DBSCAN,0.2012720739669155,0.0693865258092976,0.013120119983281,0.1692150866462793,True,1.0,1.0,Compas(race),Compas(race)9.0
70,FairDEN,0.23109832885616952,0.0518456009008872,0.0140436827694178,0.0040774719673802,False,0.6328672696345603,0.7619424403566468,Compas(race),Compas(race)9.0
76,FairDEN,0.5747310997473001,0.0449135083398679,0.0146561422189746,0.001019367991845,False,0.8231026924939017,0.7123404870644209,Compas(race),Compas(race)2.0
12,FairDEN+,0.575727795234426,0.0457615854952546,0.0145067802811537,0.0,True,0.8205088850156036,0.7067817677800904,Compas(race),Compas(race)2.0
13,FairDEN+,0.2640369212803752,0.0381933492804568,0.0122358431398227,0.0040774719673802,True,0.5838788220711326,0.7523224099158871,Compas(race),Compas(race)9.0
10,GroundTruth,0.7790643962102307,1.0,1.0,0.0,True,0.0693865258092976,0.013120119983281,Compas(race),Compas(race)2.0
68,GroundTruth,0.7790643962102307,1.0,1.0,0.0,False,0.0693865258092976,0.013120119983281,Compas(race),Compas(race)0.0
